,Dispersal unit dry mass,Dispersal unit length,Dispersal unit thickness,Dispersal unit width,Germination efficiency,Germination requirement,Leaf area,Leaf carbon (C) content per area,Leaf carbon (C) content per dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf density,Leaf dry mass,Leaf dry mass per plant,"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",Leaf dry matter content (LDMC),Leaf fresh mass,Leaf lamina thickness,Leaf lifespan,Leaf nitrogen (N) content,Leaf nitrogen (N) content per area,Leaf nitrogen (N) content per dry mass,Leaf nitrogen/phosphorus (N/P) ratio,Leaf phosphorus (P) content per area,Leaf phosphorus (P) content per dry mass,Leaf physical strength,Leaf porosity,Leaf potassium (K) content per area,Leaf potassium (K) content per dry mass,Leaf respiration per dry mass,Leaf specific area (SLA),Leaf texture (sclerophylly),Leaf thickness,Phenology: reproductive,Photosynthesis leaf intercellular CO2 concentration,Photosynthesis net assimilytion rate (NAR),Photosynthesis per leaf area,Photosynthesis per leaf dry mass,Plant height generative,Plant height vegetative,Plant lifespan,Plant relative growth rate (RGR),Plant tolerance to drought,Plant tolerance to frost,Plant tolerance to human impact,Plant tolerance to planting density,Plant tolerance to precipitation,Plant tolerance to shade,Plant tolerance to soil pH,Plant tolerance to waterlogging,Reproductive dry mass per plant,Root nitrogen (N) content per dry mass,Rooting depth,Seed length,Seed mass,Seed number per reproducton unit,Seed protein content per mass,Seed thickness,Seed width,Species distribution: number of floristic zones,Stem dry mass per plant,Stem nitrogen (N) content per dry mass,Stem specific density (SSD),Stomata conductance per leaf area,Wood dry mass per plant dry mass,Woodiness
juncus_articulatus,NA,NA,NA,NA,NA,NA,409.87,NA,NA,24.05,NA,90.96,NA,NA,208.31,NA,0.6,NA,NA,NA,20.72,NA,NA,1.49,8.54,NA,NA,NA,NA,22.9,NA,NA,8,NA,NA,NA,NA,0.38,0.44,NA,NA,NA,33.5,4,7900,29,NA,6.15,NA,NA,NA,8,0.57,0.02,1212964.75,NA,0.23,0.27,4,NA,NA,0.3,NA,NA,NA
juncus_filiformis,NA,NA,NA,NA,NA,NA,619.38,NA,NA,NA,NA,60.38,NA,NA,249.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.92,NA,NA,130,NA,NA,NA,NA,0.3,0.3,NA,0.18,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.22,342.14,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
laportea_canadensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77,7.08,NA,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
liparis_loeselii,NA,NA,NA,NA,NA,NA,924.85,NA,NA,NA,NA,22.46,NA,NA,72.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.03,NA,NA,6.5,NA,NA,NA,NA,0.09,0.06,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0.35,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
lobelia_cardinalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263.3,NA,NA,NA,NA,0,NA,NA,NA,5.9,NA,0.07,NA,48,NA,6820,44,NA,6.8,NA,NA,NA,12,NA,2823189.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lobelia_inflata,NA,NA,NA,NA,NA,NA,4.36,NA,NA,NA,NA,2.16,NA,NA,0.33,NA,NA,NA,NA,NA,42.42,NA,NA,NA,NA,NA,NA,NA,NA,373.04,NA,0.15,NA,294.04,NA,14.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,NA
lobelia_siphilitica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ludwigia_palustris,NA,NA,NA,NA,NA,NA,254.92,NA,NA,NA,NA,7.37,NA,NA,205.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.76,NA,NA,7.5,NA,NA,NA,NA,0.02,0.12,NA,NA,NA,48,2,7400,42.5,NA,6.75,NA,NA,NA,10,7.2,0.04,18789.42,NA,NA,3.2,4,NA,NA,NA,NA,NA,NA
lycopus_americanus,NA,NA,NA,NA,90,NA,2.95,NA,NA,NA,NA,NA,NA,NA,0.22,NA,NA,NA,NA,89.82,16.3,NA,NA,NA,NA,NA,NA,NA,NA,160.56,NA,0.11,NA,230.26,NA,9.18,142.6,NA,1.8,NA,0.26,NA,41,NA,6350,36,NA,6.5,NA,NA,NA,10,NA,432383.09,NA,NA,NA,NA,NA,NA,NA,NA,50.06,NA,NA
lycopus_rubellus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,71,NA,6350,45,NA,6.2,NA,NA,NA,10,NA,1863.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lysimachia_ciliata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,5.95,NA,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lysimachia_quadrifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lysimachia_terrestris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,11.6,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
maianthemum_racemosum,NA,NA,NA,NA,NA,NA,17.06,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.36,NA,NA,NA,NA,NA,7.67,169.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
matteuccia_struthiopteris,NA,NA,NA,NA,NA,NA,48201.68,NA,47,16.67,NA,2439.61,5.83,59.79,106.7,2054.41,NA,NA,12.14,1.21,2.87,NA,NA,NA,NA,NA,NA,9.85,NA,96.35,NA,0.2,7.5,NA,NA,NA,NA,0.9,79.67,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,3,4.02,NA,NA,NA,40.21,NA
mimulus_ringens,NA,NA,NA,NA,81,NA,6.19,NA,NA,NA,NA,NA,NA,0.71,0.2,NA,NA,NA,NA,NA,31.54,NA,NA,NA,NA,NA,NA,NA,NA,311.37,NA,0.16,NA,290.36,0,13.69,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA
mitchella_repens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38,11.03,NA,1100.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
monotropa_uniflora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97,6.57,NA,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
muhlenbergia_mexicana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,33.5,NA,NA,35,NA,6.5,NA,NA,NA,8,NA,150000.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
myosotis_laxa,0.24,1.53,NA,1.3,NA,NA,264.43,NA,NA,NA,NA,5.49,NA,0.61,120.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.16,NA,NA,6,NA,0,NA,NA,0.28,0.19,NA,0.23,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,275.88,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
onoclea_sensibilis,NA,NA,NA,NA,NA,NA,71.66,NA,43.19,24.96,NA,0.24,1.11,24.41,0.21,1.18,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,68.14,NA,NA,NA,NA,NA,NA,NA,NA,60.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,NA,NA,NA,1863.99,NA,NA,NA,NA,NA,3.36,NA,NA,NA,63.66,NA
osmunda_cinnamomea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,33.5,NA,3075,50,NA,5.75,NA,NA,NA,12,NA,1863.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
osmunda_regalis,NA,NA,NA,NA,NA,NA,164402.65,NA,NA,NA,NA,12544.17,NA,NA,277.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.17,NA,NA,6.5,NA,NA,NA,NA,1,3.83,NA,NA,NA,37.25,2,2662.5,45.5,NA,4.88,NA,NA,NA,15,NA,1863.99,880228,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
oxalis_stricta,NA,NA,NA,NA,NA,NA,7.43,NA,NA,NA,NA,0.36,0.1,30.07,0.32,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,396.58,NA,0.08,NA,NA,NA,NA,NA,0.25,14.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,0.22,65200,NA,NA,NA,NA,0.16,NA,NA,NA,57.73,NA
panicum_dichotomiflorum,NA,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,3.3,NA,NA,NA,28.5,2,NA,42.5,NA,5.9,NA,NA,NA,6,NA,78400.41,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
parthenocissus_quinquefolia,NA,NA,NA,NA,NA,NA,57.06,NA,43.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.28,NA,NA,NA,NA,NA,NA,NA,10,10.5,NA,NA,NA,51,NA,10850,46,NA,6.25,NA,NA,NA,16,NA,2063.77,85.95,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
peltandra_virginica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15,10.72,NA,2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,43.5,NA,14956,47.5,NA,7.35,NA,NA,NA,16,NA,1863.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
phalaris_arundinacea,0.71,3.06,0.66,1.08,NA,NA,401.2,NA,44.1,20.24,NA,21.79,0.71,9.53,75.78,0.45,NA,NA,NA,72.76,7.01,13.83,NA,419.13,NA,13,NA,NA,NA,3383.43,NA,NA,6.5,322,0,9.04,177.5,1.15,78.09,NA,0.2,NA,41,4,3750,47.5,NA,6.75,NA,0.02,NA,14,NA,22415.25,16414.34,NA,NA,NA,5,3.51,NA,0.34,150,82.64,NA
phegopteris_connectilis,NA,NA,NA,NA,NA,NA,7254.55,NA,NA,NA,NA,189.85,NA,NA,188.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.29,NA,NA,7.5,NA,NA,NA,NA,0.23,0.23,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
phegopteris_hexagonoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pilea_pumila,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
polygonum_amphibium,NA,NA,NA,NA,NA,NA,2756.7,NA,NA,NA,NA,159.91,NA,NA,243.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.45,NA,NA,NA,NA,NA,NA,NA,0.53,0.35,NA,NA,NA,43.5,NA,NA,37,NA,5.5,NA,NA,NA,6,NA,25001.25,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
polygonum_hydropiperoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.5,NA,NA,31,NA,6.25,NA,NA,NA,10,NA,20847.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
polygonum_punctatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,71,NA,NA,36,NA,7.35,NA,NA,NA,14,NA,25001.29,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
polygonum_sagittatum,NA,NA,NA,NA,NA,NA,10,NA,44.99,22.34,0.41,0.02,0.48,16.02,0.64,0.19,NA,NA,NA,NA,2.13,NA,NA,NA,NA,NA,NA,NA,NA,578.09,NA,NA,NA,NA,NA,NA,NA,NA,87.19,NA,NA,NA,48.5,NA,NA,50,NA,6.25,NA,0.27,NA,6,NA,13891.04,NA,NA,NA,NA,NA,2.19,NA,NA,NA,74.75,NA
polygonum_virginianum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
polystichum_acrostichoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
potentilla_simplex,NA,NA,NA,NA,NA,NA,5.95,NA,NA,NA,NA,9.49,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prenanthes_alba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,7.99,NA,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prunella_vulgaris,0.67,1.77,0.73,1.03,NA,NA,218.22,NA,460.24,NA,NA,8.68,NA,0.57,132.17,0.05,0.14,NA,NA,NA,16.88,7.83,NA,577.56,3.3,NA,NA,NA,NA,91.06,NA,166.83,137.7,254,0,5.03,82.57,7.21,52.69,NA,0.14,NA,38.5,2,NA,35.5,NA,6.7,NA,NA,0.59,10,NA,14847.93,6692.71,19.13,NA,NA,4,NA,0.51,NA,153,NA,NA
pteridium_aquilinum,NA,NA,NA,NA,NA,NA,NA,NA,496,NA,NA,NA,NA,NA,568.35,NA,0.38,NA,NA,2.33,19.42,NA,NA,1.22,3.12,NA,NA,9.83,NA,40.07,NA,NA,152.67,175.03,NA,12.32,115.21,0.88,41.22,NA,NA,NA,23.5,2,6820,38,NA,5.75,NA,NA,NA,10,NA,1863.99,300000000,NA,NA,NA,7,NA,NA,NA,135,NA,NA
ranunculus_pensylvanicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,46,NA,7181,30,NA,6.25,NA,NA,NA,4,NA,5000.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ranunculus_recurvatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rubus_pubescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94,5.16,NA,3750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rudbeckia_hirta,NA,1.9,0.6,0.6,NA,NA,3.33,NA,NA,NA,0.55,3.15,NA,0.6,0.79,NA,NA,NA,NA,NA,31.13,NA,NA,NA,NA,NA,NA,NA,30.11,173.74,NA,0.24,8,NA,0,10.35,NA,0.28,0.6,NA,0.18,NA,63.5,1,NA,46.5,NA,6.5,NA,NA,21.65,10,NA,157577.03,230.91,27.68,NA,NA,2,NA,NA,NA,NA,NA,NA
rudbeckia_laciniata,2.83,4.77,1,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,1.5,4.78,NA,NA,NA,31,3,6820,35,NA,5.75,NA,NA,NA,12,NA,31529.91,NA,37.8,NA,NA,3,NA,NA,NA,NA,NA,NA
sagittaria_latifolia,NA,3.75,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,4.9,NA,NA,NA,31,2,NA,32,NA,6.65,NA,NA,NA,18,NA,67000,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
schoenoplectus_pungens,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,4.9,NA,NA,NA,41,2,4125,36,NA,5.6,NA,NA,NA,14,NA,52081.71,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
scirpus_atrocinctus,NA,NA,NA,NA,NA,NA,53.97,NA,44.72,42.46,NA,0.46,1.1,21.46,0.49,1.04,NA,NA,NA,NA,1.06,NA,NA,NA,NA,NA,NA,NA,NA,115.75,NA,NA,NA,NA,NA,NA,NA,NA,124.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA,NA,NA,1863.99,NA,NA,NA,NA,NA,2.92,NA,NA,NA,57.88,NA
scirpus_microcarpus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,21,NA,3250,25,NA,6.4,NA,NA,NA,12,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scutellaria_lateriflora,NA,NA,NA,NA,NA,NA,5.28,NA,NA,NA,NA,NA,NA,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394.16,NA,0.12,NA,257.76,NA,3.72,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA
solidago_altissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.14,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
solidago_canadensis,0.06,1.18,0.35,0.35,NA,NA,11.29,NA,46.32,24.77,0.57,0.14,5.02,29.94,1.01,0.21,NA,NA,NA,NA,1.68,4.41,NA,2550,NA,NA,NA,NA,NA,20.98,NA,0.12,9,NA,0,NA,NA,1.5,80.66,NA,0.18,NA,18.5,3,7400,38,NA,6.15,NA,2.1,NA,12,NA,200000.08,8499.43,25.1,NA,NA,4,7.25,NA,NA,NA,50.64,NA
solidago_flexicaulis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,61,NA,2200,37.5,NA,6.15,NA,NA,NA,8,NA,233333.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
solidago_gigantea,0.06,1.98,0.25,0.33,NA,NA,509.19,NA,48.47,NA,NA,83.71,NA,NA,308,NA,NA,NA,NA,NA,1.2,6.48,NA,2000,NA,NA,NA,NA,NA,20.25,NA,NA,8.5,NA,NA,NA,NA,1.5,4.79,NA,NA,NA,38.5,3,NA,32,NA,6,NA,NA,NA,16,NA,100000.11,899445,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
symphyotrichum_lanceolatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,19.75,NA,1450,17,NA,6.85,NA,NA,NA,10,NA,700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
symphyotrichum_prenanthoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,31,NA,6850,40,NA,6.35,NA,NA,NA,10,NA,700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
symplocarpus_foetidus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,58.5,NA,3250,50,NA,5.5,NA,NA,NA,12,NA,21955.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
thalictrum_dioicum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63,6.31,NA,2750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
thalictrum_pubescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
thelypteris_noveboracensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,36,NA,7181,45,NA,5.5,NA,NA,NA,6,NA,1325000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
thelypteris_palustris,NA,NA,NA,NA,NA,NA,10907.38,NA,NA,NA,NA,387.66,NA,NA,207.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.69,NA,NA,8,NA,NA,NA,NA,0.55,0.55,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
