Site,Quadrat,Species
I1GH,1,Prunella vulgaris
I1GH,1,Scirpus polyphyllus
I1GH,1,Symphyotrichum dumosum
I1GH,2,Alliaria petiolata
I1GH,2,Amphicarpaea bracteata
I1GH,2,Bidens frondosa
I1GH,2,Fragaria vesca
I1GH,2,Galium triflorum
I1GH,2,Glyceria borealis
I1GH,2,Halenia deflexa
I1GH,2,Halenia deflexa
I1GH,2,Impatiens capensis
I1GH,2,Leersia oryzoides
I1GH,2,Lysimachia nummularia
I1GH,2,Onoclea sensibilis
I1GH,2,Polygonum virginianum
I1GH,2,Scirpus polyphyllus
I1GH,3,Bidens frondosa
I1GH,3,Fragaria vesca
I1GH,3,Galium triflorum
I1GH,3,Glyceria borealis
I1GH,3,Onoclea sensibilis
I1GH,3,Parthenocissus quinquefolia
I1GH,3,Symphyotrichum dumosum
I1GH,4,Amphicarpaea bracteata
I1GH,4,Bidens connata
I1GH,4,Bidens frondosa
I1GH,4,Eupatorium purpureum
I1GH,4,Leersia oryzoides
I1GH,4,Lysimachia nummularia
I1GH,4,Onoclea sensibilis
I1GH,4,Pilea pumila
I1GH,4,Potentilla simplex
I1GH,4,Scirpus polyphyllus
I1GH,5,Bidens frondosa
I1GH,5,Glyceria borealis
I1GH,5,Lysimachia nummularia
I1GH,5,Onoclea sensibilis
I1GH,5,Scutellaria lateriflora
I1GH,6,Alliaria petiolata
I1GH,6,Bidens frondosa
I1GH,6,Galium palustre
I1GH,6,Leersia oryzoides
I1GH,6,Lysimachia nummularia
I1GH,6,Onoclea sensibilis
I1GH,6,Pilea pumila
I1GH,6,SP34
I1GH,6,SP35
I1GH,7,Athyrium filix-femina
I1GH,7,Bidens frondosa
I1GH,7,Galium boreale
I1GH,7,Galium triflorum
I1GH,7,Leersia oryzoides
I1GH,7,Onoclea sensibilis
I1GH,7,SP35
I1GH,7,Symphyotrichum dumosum
I1GH,8,Amphicarpaea bracteata
I1GH,8,Bidens frondosa
I1GH,8,Fragaria vesca
I1GH,8,Galium palustre
I1GH,8,Leersia oryzoides
I1GH,8,Lysimachia nummularia
I1GH,8,Pilea pumila
I1GH,8,Rubus pubescens
I1GH,8,Symphyotrichum dumosum
I1GH,8,Toxicodendron radicans
I1GH,9,Bidens frondosa
I1GH,9,Fragaria vesca
I1GH,9,Hydrocotyle americana
I1GH,9,Leersia oryzoides
I1GH,9,Pilea pumila
I1GH,9,Potentilla simplex
I1GH,9,Rubus pubescens
I1GH,9,SP38
I1GH,10,Hydrocotyle americana
I1GH,10,Leersia oryzoides
I1GH,10,Onoclea sensibilis
I1GH,10,Potentilla simplex
I1GH,10,Rubus pubescens
I1GH,10,Symphyotrichum dumosum
I1GH,11,Amphicarpaea bracteata
I1GH,11,Bidens frondosa
I1GH,11,Glyceria borealis
I1GH,11,Hydrocotyle americana
I1GH,11,Potentilla simplex
I1GH,11,Rubus pubescens
I1GH,11,Symphyotrichum dumosum
I1GH,12,Amphicarpaea bracteata
I1GH,12,Fragaria vesca
I1GH,12,Galium palustre
I1GH,12,Hydrocotyle americana
I1GH,12,Leersia oryzoides
I1GH,12,Parthenocissus quinquefolia
I1GH,12,Rubus pubescens
I1GH,12,SP35
I1GH,13,Athyrium filix-femina
I1GH,13,Bidens frondosa
I1GH,13,Fragaria vesca
I1GH,13,Galium triflorum
I1GH,13,Hydrocotyle americana
I1GH,13,Parthenocissus quinquefolia
I1GH,13,Scirpus polyphyllus
I1GH,13,SP35
I1GH,14,Amphicarpaea bracteata
I1GH,14,Fragaria vesca
I1GH,14,Galium aparine
I1GH,14,Glyceria borealis
I1GH,14,Hydrocotyle americana
I1GH,14,Lysimachia ciliata
I1GH,14,Parthenocissus quinquefolia
I1GH,14,Rubus pubescens
I1GH,14,SP35
I1GH,14,Symphyotrichum dumosum
I1GH,15,Agrimonia gryposepala
I1GH,15,Bidens frondosa
I1GH,15,Galium triflorum
I1GH,15,Glyceria borealis
I1GH,15,Hydrocotyle americana
I1GH,15,Onoclea sensibilis
I1GH,15,Parthenocissus quinquefolia
I1GH,15,Prunella vulgaris
I1GH,15,Rubus pubescens
I1GH,15,Symphyotrichum dumosum
I1GH,16,Amphicarpaea bracteata
I1GH,16,Bidens frondosa
I1GH,16,Galium palustre
I1GH,16,Onoclea sensibilis
I1GH,16,Parthenocissus quinquefolia
I1GH,16,Thalictrum thalictroides
I1GH,17,Amphicarpaea bracteata
I1GH,17,Anemone canadensis
I1GH,17,Galium palustre
I1GH,17,Prunella vulgaris
I1GH,17,Symphyotrichum dumosum
I1GH,18,Galium aparine
I1GH,18,Glyceria borealis
I1GH,18,Hydrocotyle americana
I1GH,19,Anemone canadensis
I1GH,19,Bidens frondosa
I1GH,19,Hydrocotyle americana
I1GH,19,Impatiens capensis
I1GH,19,Leersia oryzoides
I1GH,19,Onoclea sensibilis
I1GH,19,Polygonum sagittatum
I1GH,19,Prunella vulgaris
I1GH,19,Scirpus polyphyllus
I1GH,19,Symphyotrichum dumosum
I1GH,19,Trifolium pratense
I1GH,20,Bidens frondosa
I1GH,20,Clematis virginiana
I1GH,20,Galium palustre
I1GH,20,Hydrocotyle americana
I1GH,20,Impatiens capensis
I1GH,20,Onoclea sensibilis
I1GH,20,Polygonum sagittatum
I1GH,W,Acer rubrum
I1GH,W,Acer rubrum
I1GH,W,Berberis thunbergii
I1GH,W,Berberis thunbergii
I1GH,W,Berberis thunbergii
I1GH,W,Berberis thunbergii
I1GH,W,Berberis thunbergii
I1GH,W,Cephalanthus occidentalis
I1GH,W,Cornus obliqua
I1GH,W,Cornus obliqua
I1GH,W,Cornus obliqua
I1GH,W,Cornus obliqua
I1GH,W,Cornus obliqua
I1GH,W,Cornus obliqua
I1GH,W,Cornus obliqua
I1GH,W,Cornus sericea
I1GH,W,Cornus sericea
I1GH,W,Cornus sericea
I1GH,W,Cornus sericea
I1GH,W,Cornus sericea
I1GH,W,Cornus sericea
I1GH,W,Cornus sericea
I1GH,W,Cornus sericea
I1GH,W,Cornus sericea
I1GH,W,Cornus sericea
I1GH,W,Cornus sericea
I1GH,W,Cornus sericea
I1GH,W,Cornus sericea
I1GH,W,Fraxinus americana
I1GH,W,Populus tremuloides
I1GH,W,Populus tremuloides
I1GH,W,Populus tremuloides
I1GH,W,Populus tremuloides
I1GH,W,Populus tremuloides
I1GH,W,Populus tremuloides
I1GH,W,Populus tremuloides
I1GH,W,Quercus alba
I1GH,W,Rhamnus cathartica
I1GH,W,Rosa multiflora
I1GH,W,Rosa multiflora
I1GH,W,Rosa multiflora
I1GH,W,Rosa multiflora
I1GH,W,Rosa multiflora
I1GH,W,Rosa multiflora
I1GH,W,Rosa multiflora
I1GH,W,Rosa multiflora
I1GH,W,Rosa multiflora
I1GH,W,Rosa multiflora
I1GH,W,Rosa multiflora
I1GH,W,Rosa multiflora
I1GH,W,Rosa multiflora
I1GH,W,Rosa multiflora
I1GH,W,Rosa multiflora
I1GH,W,Rosa multiflora
I1GH,W,Rosa multiflora
I1GH,W,Rosa multiflora
I1GH,W,Rosa multiflora
I1GH,W,Tilia americana
I1GH,W,Tilia americana
I1GH,W,Ulmus rubra
I1GH,W,Ulmus rubra
I1GH,W,Ulmus rubra
I1GH,W,Viburnum recognitum
I1GL,1,Leersia oryzoides
I1GL,1,Lysimachia nummularia
I1GL,1,Onoclea sensibilis
I1GL,1,Polygonum sagittatum
I1GL,1,SP29
I1GL,2,Leersia oryzoides
I1GL,2,Lysimachia nummularia
I1GL,3,Bidens frondosa
I1GL,3,Leersia oryzoides
I1GL,3,Lysimachia nummularia
I1GL,3,Pilea pumila
I1GL,3,SP29
I1GL,4,Fragaria vesca
I1GL,4,Leersia oryzoides
I1GL,4,Lysimachia nummularia
I1GL,4,Polygonum virginianum
I1GL,5,Leersia oryzoides
I1GL,5,Lycopus uniflorus
I1GL,5,Lysimachia nummularia
I1GL,6,Leersia oryzoides
I1GL,6,Lysimachia nummularia
I1GL,6,SP29
I1GL,7,Galium aparine
I1GL,7,Leersia oryzoides
I1GL,7,Lysimachia nummularia
I1GL,7,Prunella vulgaris
I1GL,7,Viola fimbriatula
I1GL,8,Lysimachia nummularia
I1GL,8,SP29
I1GL,9,Leersia oryzoides
I1GL,9,Lycopus uniflorus
I1GL,9,Lysimachia nummularia
I1GL,9,Scirpus polyphyllus
I1GL,10,Leersia oryzoides
I1GL,10,Lycopus uniflorus
I1GL,10,Lysimachia nummularia
I1GL,11,Fragaria vesca
I1GL,11,Leersia oryzoides
I1GL,11,Lycopus uniflorus
I1GL,11,Scirpus polyphyllus
I1GL,11,Symphyotrichum dumosum
I1GL,11,Viola fimbriatula
I1GL,12,Lactuca canadensis
I1GL,12,Leersia oryzoides
I1GL,12,Lysimachia nummularia
I1GL,12,Prunella vulgaris
I1GL,12,Ranunculus recurvatus
I1GL,12,SP27
I1GL,12,Viola fimbriatula
I1GL,13,Fragaria vesca
I1GL,13,Leersia oryzoides
I1GL,13,Prunella vulgaris
I1GL,13,Scirpus polyphyllus
I1GL,14,Fragaria vesca
I1GL,15,Impatiens capensis
I1GL,15,Lactuca canadensis
I1GL,16,Leersia oryzoides
I1GL,17,Galium palustre
I1GL,17,Lycopus uniflorus
I1GL,17,Lysimachia nummularia
I1GL,17,Onoclea sensibilis
I1GL,18,Amphicarpaea bracteata
I1GL,18,Galium palustre
I1GL,18,Impatiens capensis
I1GL,18,Leersia oryzoides
I1GL,18,Lycopus uniflorus
I1GL,18,Onoclea sensibilis
I1GL,18,Prunella vulgaris
I1GL,19,Fragaria vesca
I1GL,19,Geum laciniatum
I1GL,19,Leersia oryzoides
I1GL,19,Lycopus uniflorus
I1GL,19,Lysimachia nummularia
I1GL,20,Lycopus uniflorus
I1GL,W,Acer spicatum
I1GL,W,Berberis thunbergii
I1GL,W,Euonymus alatus
I1GL,W,Euonymus alatus
I1GL,W,Fraxinus americana
I1GL,W,Fraxinus americana
I1GL,W,Fraxinus americana
I1GL,W,Populus tremuloides
I1GL,W,Prunus virginiana
I1GL,W,Prunus virginiana
I1GL,W,Quercus rubra
I1GL,W,Rhamnus cathartica
I1GL,W,Rosa multiflora
I1GL,W,SP23
I1GL,W,Ulmus rubra
I1GL,W,Ulmus rubra
I1GL,W,Ulmus rubra
I1UH,1,Amphicarpaea bracteata
I1UH,1,Anemone canadensis
I1UH,1,Galium triflorum
I1UH,1,Hydrocotyle americana
I1UH,1,Lycopus uniflorus
I1UH,1,Lysimachia ciliata
I1UH,1,Lysimachia nummularia
I1UH,1,Polygonum virginianum
I1UH,1,Potentilla simplex
I1UH,1,Symphyotrichum dumosum
I1UH,2,Amphicarpaea bracteata
I1UH,2,Boehmeria cylindrica
I1UH,2,Fragaria vesca
I1UH,2,Hydrocotyle americana
I1UH,2,Leersia oryzoides
I1UH,2,Lysimachia nummularia
I1UH,2,Onoclea sensibilis
I1UH,2,Polygonum virginianum
I1UH,2,Prunella vulgaris
I1UH,2,Scirpus polyphyllus
I1UH,3,Amphicarpaea bracteata
I1UH,3,Galium palustre
I1UH,3,Hydrocotyle americana
I1UH,3,Leersia oryzoides
I1UH,3,Lysimachia nummularia
I1UH,3,Onoclea sensibilis
I1UH,3,Parthenocissus quinquefolia
I1UH,3,Polygonum sagittatum
I1UH,3,Polygonum virginianum
I1UH,4,Lysimachia ciliata
I1UH,4,Lysimachia nummularia
I1UH,4,Lythrum salicaria
I1UH,4,Onoclea sensibilis
I1UH,4,Scirpus polyphyllus
I1UH,4,Symphyotrichum dumosum
I1UH,5,Clematis virginiana
I1UH,5,Galium aparine
I1UH,5,Lysimachia nummularia
I1UH,5,Polygonum virginianum
I1UH,5,Solidago gigantea
I1UH,5,Symphyotrichum dumosum
I1UH,5,Toxicodendron radicans
I1UH,6,Amphicarpaea bracteata
I1UH,6,Galium triflorum
I1UH,6,Lysimachia nummularia
I1UH,6,Polygonum virginianum
I1UH,6,Prunella vulgaris
I1UH,6,Solidago gigantea
I1UH,7,Clematis virginiana
I1UH,7,Fragaria vesca
I1UH,7,Lysimachia nummularia
I1UH,7,Potentilla simplex
I1UH,7,Solidago gigantea
I1UH,7,Symphyotrichum dumosum
I1UH,8,Scirpus polyphyllus
I1UH,8,SP40
I1UH,8,Toxicodendron radicans
I1UH,10,Mitchella repens
I1UH,10,Potentilla simplex
I1UH,10,Symphyotrichum dumosum
I1UH,11,Mitchella repens
I1UH,11,Rubus pubescens
I1UH,12,Lysimachia nummularia
I1UH,12,Parthenocissus quinquefolia
I1UH,12,Potentilla simplex
I1UH,13,Lysimachia nummularia
I1UH,13,Potentilla simplex
I1UH,13,Symphyotrichum dumosum
I1UH,14,Lysimachia nummularia
I1UH,14,Potentilla simplex
I1UH,14,Toxicodendron radicans
I1UH,15,Lysimachia nummularia
I1UH,15,Parthenocissus quinquefolia
I1UH,17,Fragaria vesca
I1UH,18,Mitchella repens
I1UH,18,Potentilla simplex
I1UH,19,Fragaria vesca
I1UH,19,Polygonum virginianum
I1UH,19,Scutellaria lateriflora
I1UH,20,Parthenocissus quinquefolia
I1UH,20,Rubus pubescens
I1UH,20,Toxicodendron radicans
I1UH,W,Acer platanoides
I1UH,W,Acer rubrum
I1UH,W,Acer rubrum
I1UH,W,Acer rubrum
I1UH,W,Acer rubrum
I1UH,W,Acer rubrum
I1UH,W,Acer rubrum
I1UH,W,Acer rubrum
I1UH,W,Acer saccharum
I1UH,W,Acer saccharum
I1UH,W,Acer saccharum
I1UH,W,Acer saccharum
I1UH,W,Berberis thunbergii
I1UH,W,Carya ovata
I1UH,W,Carya ovata
I1UH,W,Carya ovata
I1UH,W,Carya ovata
I1UH,W,Carya ovata
I1UH,W,Carya ovata
I1UH,W,Carya ovata
I1UH,W,Carya ovata
I1UH,W,Carya ovata
I1UH,W,Carya ovata
I1UH,W,Carya ovata
I1UH,W,Cornus obliqua
I1UH,W,Cornus sericea
I1UH,W,Cornus sericea
I1UH,W,Cornus sericea
I1UH,W,Cornus sericea
I1UH,W,Cornus sericea
I1UH,W,Cornus sericea
I1UH,W,Crataegus sp.
I1UH,W,Euonymus alatus
I1UH,W,Euonymus alatus
I1UH,W,Fagus grandifolia
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Fraxinus americana
I1UH,W,Pinus strobus
I1UH,W,Pinus strobus
I1UH,W,Populus tremuloides
I1UH,W,Populus tremuloides
I1UH,W,Prunus serotina
I1UH,W,Prunus serotina
I1UH,W,Prunus serotina
I1UH,W,Quercus alba
I1UH,W,Quercus alba
I1UH,W,Quercus alba
I1UH,W,Quercus alba
I1UH,W,Quercus alba
I1UH,W,Quercus alba
I1UH,W,Quercus alba
I1UH,W,Quercus alba
I1UH,W,Quercus alba
I1UH,W,Quercus alba
I1UH,W,Quercus alba
I1UH,W,Quercus alba
I1UH,W,Quercus rubra
I1UH,W,Quercus rubra
I1UH,W,Rhamnus cathartica
I1UH,W,Rhamnus cathartica
I1UH,W,Rhamnus cathartica
I1UH,W,Rhamnus cathartica
I1UH,W,Rhamnus cathartica
I1UH,W,Rhamnus cathartica
I1UH,W,Rhamnus cathartica
I1UH,W,Rhamnus cathartica
I1UH,W,Rhamnus cathartica
I1UH,W,Rhamnus cathartica
I1UH,W,Rhamnus cathartica
I1UH,W,Rhamnus cathartica
I1UH,W,Rhamnus cathartica
I1UH,W,Rhamnus cathartica
I1UH,W,Rhamnus cathartica
I1UH,W,Rhamnus cathartica
I1UH,W,Rhamnus cathartica
I1UH,W,Rhamnus cathartica
I1UH,W,Rhamnus cathartica
I1UH,W,Rhamnus cathartica
I1UH,W,Rhamnus cathartica
I1UH,W,Rhamnus cathartica
I1UH,W,Rosa multiflora
I1UH,W,Rosa multiflora
I1UH,W,Rosa multiflora
I1UH,W,Rosa multiflora
I1UH,W,Rosa multiflora
I1UH,W,Rosa multiflora
I1UH,W,Rosa multiflora
I1UH,W,Rosa multiflora
I1UH,W,Rosa multiflora
I1UH,W,Rosa multiflora
I1UH,W,Rosa multiflora
I1UH,W,Rosa multiflora
I1UH,W,Salix lucida
I1UH,W,SP39
I1UH,W,Ulmus rubra
I1UH,W,Ulmus rubra
I1UH,W,Ulmus rubra
I1UH,W,Ulmus rubra
I1UH,W,Ulmus rubra
I1UH,W,Ulmus rubra
I1UH,W,Ulmus rubra
I1UL,2,Arisaema triphyllum
I1UL,3,Mitchella repens
I1UL,4,Fragaria vesca
I1UL,4,Potentilla simplex
I1UL,4,Rubus hispidus
I1UL,4,Scirpus polyphyllus
I1UL,4,Symphyotrichum dumosum
I1UL,5,Amphicarpaea bracteata
I1UL,5,Potentilla simplex
I1UL,6,Dryopteris camyloptera
I1UL,7,Dryopteris camyloptera
I1UL,7,Marrubium vulgare
I1UL,8,Lysimachia nummularia
I1UL,8,Potentilla simplex
I1UL,9,Amphicarpaea bracteata
I1UL,9,Dryopteris camyloptera
I1UL,9,Fragaria vesca
I1UL,9,Potentilla simplex
I1UL,9,Scirpus polyphyllus
I1UL,10,Anemone canadensis
I1UL,10,Lysimachia nummularia
I1UL,10,Potentilla simplex
I1UL,11,Parthenocissus quinquefolia
I1UL,12,Fragaria vesca
I1UL,12,Parthenocissus quinquefolia
I1UL,13,Amphicarpaea bracteata
I1UL,13,Fragaria vesca
I1UL,13,Rubus hispidus
I1UL,13,Symphyotrichum dumosum
I1UL,14,Symphyotrichum dumosum
I1UL,15,Marrubium vulgare
I1UL,W,Acer saccharum
I1UL,W,Amelanchier arborea
I1UL,W,Amelanchier arborea
I1UL,W,Amelanchier arborea
I1UL,W,Betula populifolia
I1UL,W,Cornus sericea
I1UL,W,Cornus sericea
I1UL,W,Cornus sericea
I1UL,W,Cornus sericea
I1UL,W,Cornus sericea
I1UL,W,Cornus sericea
I1UL,W,Euonymus alatus
I1UL,W,Euonymus alatus
I1UL,W,Fagus grandifolia
I1UL,W,Fraxinus americana
I1UL,W,Fraxinus americana
I1UL,W,Fraxinus americana
I1UL,W,Fraxinus americana
I1UL,W,Fraxinus americana
I1UL,W,Fraxinus americana
I1UL,W,Fraxinus americana
I1UL,W,Fraxinus americana
I1UL,W,Fraxinus americana
I1UL,W,Fraxinus americana
I1UL,W,Fraxinus americana
I1UL,W,Fraxinus americana
I1UL,W,Fraxinus americana
I1UL,W,Fraxinus americana
I1UL,W,Malus pumila
I1UL,W,Populus deltoides
I1UL,W,Prunus virginiana
I1UL,W,Prunus virginiana
I1UL,W,Quercus alba
I1UL,W,Quercus alba
I1UL,W,Quercus alba
I1UL,W,Quercus rubra
I1UL,W,Quercus rubra
I1UL,W,Rhamnus cathartica
I1UL,W,Rhamnus cathartica
I1UL,W,Tilia americana
I1UL,W,Tilia americana
I1UL,W,Tilia americana
I1UL,W,Tsuga canadensis
I1UL,W,Tsuga canadensis
I1UL,W,Tsuga canadensis
I1UL,W,Tsuga canadensis
I1UL,W,Tsuga canadensis
I1UL,W,Tsuga canadensis
I1UL,W,Tsuga canadensis
I1UL,W,Tsuga canadensis
I1UL,W,Tsuga canadensis
I1UL,W,Tsuga canadensis
I1UL,W,Tsuga canadensis
I1UL,W,Tsuga canadensis
I1UL,W,Tsuga canadensis
I1UL,W,Tsuga canadensis
I1UL,W,Tsuga canadensis
I1UL,W,Ulmus rubra
I2GH,1,Agrostis perennans
I2GH,1,Eurybia divaricata
I2GH,1,Glyceria borealis
I2GH,1,Polystichum acrostichoides
I2GH,1,SP71
I2GH,1,SP79
I2GH,1,Symphyotrichum dumosum
I2GH,1,Viola sp.
I2GH,2,Eurybia divaricata
I2GH,2,Glyceria borealis
I2GH,2,Polystichum acrostichoides
I2GH,2,Ranunculus recurvatus
I2GH,2,SP79
I2GH,2,Symphyotrichum dumosum
I2GH,2,Viola sp.
I2GH,3,Amphicarpaea bracteata
I2GH,3,Dryopteris camyloptera
I2GH,3,Eurybia divaricata
I2GH,3,Muhlenbergia schreberi
I2GH,3,Polystichum acrostichoides
I2GH,3,Viola pubescens
I2GH,4,Adiantum pedatum
I2GH,4,Agrostis perennans
I2GH,4,Eurybia divaricata
I2GH,4,Solidago flexicaulis
I2GH,4,SP79
I2GH,4,Thalictrum pubescens
I2GH,4,Viola pubescens
I2GH,5,Eurybia divaricata
I2GH,5,Solidago flexicaulis
I2GH,5,SP79
I2GH,5,SP80
I2GH,5,Thalictrum pubescens
I2GH,5,Viola pubescens
I2GH,6,Elymus virginicus
I2GH,6,Eurybia divaricata
I2GH,7,Cryptotaenia canadensis
I2GH,7,Eurybia divaricata
I2GH,7,Solidago flexicaulis
I2GH,7,Viola pubescens
I2GH,7,Viola sp.
I2GH,8,Amphicarpaea bracteata
I2GH,8,Circaea lutetiana
I2GH,8,Dryopteris camyloptera
I2GH,8,Eurybia divaricata
I2GH,8,Onoclea sensibilis
I2GH,8,Solidago flexicaulis
I2GH,8,Symphyotrichum dumosum
I2GH,8,Thalictrum pubescens
I2GH,9,Amphicarpaea bracteata
I2GH,9,Circaea lutetiana
I2GH,9,Dryopteris camyloptera
I2GH,9,Eurybia divaricata
I2GH,9,Glyceria borealis
I2GH,9,Solidago flexicaulis
I2GH,10,Amphicarpaea bracteata
I2GH,10,Circaea lutetiana
I2GH,10,Cryptotaenia canadensis
I2GH,10,Eurybia divaricata
I2GH,10,Glyceria borealis
I2GH,10,Ranunculus recurvatus
I2GH,11,Glyceria borealis
I2GH,11,Pilea pumila
I2GH,12,Glyceria borealis
I2GH,12,Lactuca canadensis
I2GH,12,Oxalis stricta
I2GH,12,Prunella vulgaris
I2GH,13,Eurybia divaricata
I2GH,13,Galium triflorum
I2GH,13,Glyceria borealis
I2GH,13,Solidago flexicaulis
I2GH,13,Symphyotrichum dumosum
I2GH,14,Bidens frondosa
I2GH,14,Eurybia divaricata
I2GH,14,Lactuca canadensis
I2GH,14,Symphyotrichum dumosum
I2GH,14,Viola sp.
I2GH,15,Eurybia divaricata
I2GH,15,Maianthemum racemosum ssp. racemosum
I2GH,16,Eurybia divaricata
I2GH,16,Maianthemum canadense
I2GH,16,Muhlenbergia schreberi
I2GH,17,Circaea lutetiana
I2GH,17,Eurybia divaricata
I2GH,17,Galium triflorum
I2GH,17,SP71
I2GH,17,Symphyotrichum dumosum
I2GH,17,Toxicodendron radicans
I2GH,18,Eurybia divaricata
I2GH,18,Eurybia divaricata
I2GH,18,Glyceria borealis
I2GH,18,Maianthemum canadense
I2GH,18,SP71
I2GH,18,Viola sp.
I2GH,20,Adiantum pedatum
I2GH,20,Agrostis perennans
I2GH,20,Glyceria borealis
I2GH,20,SP71
I2GH,W,Acer saccharum
I2GH,W,Acer saccharum
I2GH,W,Acer saccharum
I2GH,W,Acer saccharum
I2GH,W,Acer saccharum
I2GH,W,Acer saccharum
I2GH,W,Acer saccharum
I2GH,W,Acer saccharum
I2GH,W,Betula lenta
I2GH,W,Tilia americana
I2GH,W,Tsuga canadensis
I2GH,W,Ulmus rubra
I2GL,1,Glyceria borealis
I2GL,1,Muhlenbergia schreberi
I2GL,1,Parthenocissus quinquefolia
I2GL,1,Pilea pumila
I2GL,1,Toxicodendron radicans
I2GL,1,Vitis riparia
I2GL,2,Glyceria borealis
I2GL,2,Parthenocissus quinquefolia
I2GL,2,Polygonum persicaria
I2GL,3,Glyceria borealis
I2GL,4,Bidens frondosa
I2GL,4,Dichanthelium clandestinum
I2GL,4,Glyceria borealis
I2GL,4,Polygonum hydropiperoides
I2GL,4,Polygonum persicaria
I2GL,4,Solanum dulcamara
I2GL,5,Glyceria borealis
I2GL,5,Plantago major
I2GL,5,Polygonum persicaria
I2GL,5,SP71
I2GL,5,SP72
I2GL,6,Bidens frondosa
I2GL,6,Glyceria borealis
I2GL,6,Muhlenbergia schreberi
I2GL,6,Pilea pumila
I2GL,6,Plantago major
I2GL,7,Glyceria borealis
I2GL,7,Polygonum virginianum
I2GL,7,Solidago gigantea
I2GL,7,SP61
I2GL,7,SP71
I2GL,8,Circaea lutetiana
I2GL,8,Glyceria borealis
I2GL,8,Impatiens capensis
I2GL,8,Polygonum virginianum
I2GL,8,Prunella vulgaris
I2GL,8,Rumex triangulivalvis
I2GL,8,Solidago flexicaulis
I2GL,9,Bidens frondosa
I2GL,9,Glyceria borealis
I2GL,9,Impatiens capensis
I2GL,9,Polygonum virginianum
I2GL,10,Amphicarpaea bracteata
I2GL,10,Circaea lutetiana
I2GL,10,Glyceria borealis
I2GL,10,Lysimachia nummularia
I2GL,10,Lythrum salicaria
I2GL,10,Pilea pumila
I2GL,11,Didiplis diandra
I2GL,11,Lythrum salicaria
I2GL,11,Plantago major
I2GL,11,Solidago flexicaulis
I2GL,12,Circaea lutetiana
I2GL,12,Glyceria borealis
I2GL,12,Lythrum salicaria
I2GL,12,Panicum capillare
I2GL,12,Panicum dichotomiflorum
I2GL,12,Polygonum lapathifolium
I2GL,12,Polygonum persicaria
I2GL,12,Toxicodendron radicans
I2GL,13,Didiplis diandra
I2GL,13,Glyceria borealis
I2GL,13,Lythrum salicaria
I2GL,13,Veronica americana
I2GL,14,Didiplis diandra
I2GL,14,Glyceria borealis
I2GL,14,Lythrum salicaria
I2GL,14,Plantago major
I2GL,15,Didiplis diandra
I2GL,15,Glyceria borealis
I2GL,15,Lythrum salicaria
I2GL,16,Bidens connata
I2GL,16,Calystegia sepium
I2GL,16,Didiplis diandra
I2GL,16,Glyceria borealis
I2GL,16,Plantago major
I2GL,16,Polygonum persicaria
I2GL,16,Xanthium strumarium
I2GL,17,Bidens frondosa
I2GL,17,Didiplis diandra
I2GL,17,Echinochloa muricata
I2GL,17,Glyceria borealis
I2GL,17,Lysimachia nummularia
I2GL,17,Polygonum lapathifolium
I2GL,18,Didiplis diandra
I2GL,18,Glyceria borealis
I2GL,19,Glyceria borealis
I2GL,19,Polygonum lapathifolium
I2GL,20,Arctium lappa
I2GL,20,Glyceria borealis
I2GL,20,Lythrum salicaria
I2GL,20,Polygonum lapathifolium
I2GL,20,Polygonum persicaria
I2GL,W,Cornus obliqua
I2GL,W,Cornus obliqua
I2GL,W,Cornus obliqua
I2GL,W,Rhamnus alnifolia
I2GL,W,Rhamnus alnifolia
I2GL,W,Ulmus rubra
I2UH,1,Adiantum pedatum
I2UH,2,Adiantum pedatum
I2UH,2,Dryopteris camyloptera
I2UH,2,Polystichum acrostichoides
