,Dispersal.unit.dry.mass,Dispersal.unit.length,Dispersal.unit.thickness,Dispersal.unit.width,Germination.efficiency,Germination.requirement,Leaf.area,Leaf.carbon..C..content.per.area,Leaf.carbon..C..content.per.dry.mass,Leaf.carbon.nitrogen..C.N..ratio,Leaf.density,Leaf.dry.mass,Leaf.dry.mass.per.plant,Leaf.dry.mass.per.plant.dry.mass..leaf.weight.ratio..LWR.,Leaf.dry.matter.content..LDMC.,Leaf.fresh.mass,Leaf.lamina.thickness,Leaf.lifespan,Leaf.nitrogen..N..content,Leaf.nitrogen..N..content.per.area,Leaf.nitrogen..N..content.per.dry.mass,Leaf.nitrogen.phosphorus..N.P..ratio,Leaf.phosphorus..P..content.per.area,Leaf.phosphorus..P..content.per.dry.mass,Leaf.physical.strength,Leaf.porosity,Leaf.potassium..K..content.per.area,Leaf.potassium..K..content.per.dry.mass,Leaf.respiration.per.dry.mass,Leaf.specific.area..SLA.,Leaf.texture..sclerophylly.,Leaf.thickness,Phenology..reproductive,Photosynthesis.leaf.intercellular.CO2.concentration,Photosynthesis.net.assimilytion.rate..NAR.,Photosynthesis.per.leaf.area,Photosynthesis.per.leaf.dry.mass,Plant.height.generative,Plant.height.vegetative,Plant.lifespan,Plant.relative.growth.rate..RGR.,Plant.tolerance.to.drought,Plant.tolerance.to.frost,Plant.tolerance.to.human.impact,Plant.tolerance.to.planting.density,Plant.tolerance.to.precipitation,Plant.tolerance.to.shade,Plant.tolerance.to.soil.pH,Plant.tolerance.to.waterlogging,Reproductive.dry.mass.per.plant,Root.nitrogen..N..content.per.dry.mass,Rooting.depth,Seed.length,Seed.mass,Seed.number.per.reproducton.unit,Seed.protein.content.per.mass,Seed.thickness,Seed.width,Species.distribution..number.of.floristic.zones,Stem.dry.mass.per.plant,Stem.nitrogen..N..content.per.dry.mass,Stem.specific.density..SSD.,Stomata.conductance.per.leaf.area,Wood.dry.mass.per.plant.dry.mass,Woodiness
Saw Kill,NA,NA,NA,NA,NA,1,23.16857143,28.93666667,47,21.505,0.441666667,26.58333333,0.935,5.156666667,0.566666667,0.435,190.75,23.73333333,8.763333333,1.346,3.881428571,11.01666667,0.13,1823.888333,NA,NA,0.5325,0.915,11.255,248.4354545,0.2825,97.59142857,8.5,195.9225,0,7.938,33.745,20,43.296,475,0.152,2.271666667,36.95,4,1692.857143,43.85,3.588333333,5.895,1.693333333,0.19,14.25,24.6,NA,24316.78833,4,28.05,NA,NA,3,4.725,9.835,72.76166667,135.1,80.43,1
Sherriff Lake Outlet,0.29,2.225,0.41,1.5125,73,1,11588.02833,25.75,47.2425,23.626,0.44,954.6433333,1.6775,20.16,82.87285714,111.54,NA,3.985,5.78,9.577142857,4.484,12.24285714,0.09,1338.4025,NA,NA,0.5725,0.895,4.2,151.1015385,0.346666667,64.575,19.75,320,0,8.593333333,134.2266667,3.346,29.50736842,161,0.143333333,1.848,36.270625,2.166666667,2978.180833,41.114375,3.208,5.983125,2.574,0.755,5.17,17.40625,2.12,240474.0932,643263.9767,19.65,0.29,0.42,3.666666667,3.24,1.975,51.456,120,61.695,1
Snook Kill,9.036,8.821666667,1.96,4.195,81,1,693.821875,31.77666667,46.11181818,20.58333333,0.563333333,149.39,2.04,13.6,91.03846154,80.12428571,NA,4.446666667,15.57666667,11.77142857,5.22375,9.697272727,0.0825,1840.68,451.7,16,0.4475,0.8425,17.06,556.2070588,0.3325,60.05555556,6.7,274.624,0,9.63,90.4925,4.707272727,28.25909091,131,0.201428571,2.531666667,44.21277778,2.8,4192.166923,37.69888889,2.483333333,6.351666667,2.671666667,0.866,16.7,18.36111111,1.415,86533.08,339089.46,23.82142857,0.705,0.825,3.4,4.664,NA,110.0457143,157.032,62.918,1
Sprout Creek,0.48,2.3325,0.546666667,0.813333333,NA,1,170.5711111,28.27,104.5557143,20.2575,0.475,118.0075,1.07,11.75,73.89714286,0.614,0.14,5.7,13.75,25.16,5.035555556,9.0375,0.23,1392.3225,3.3,13,0.64,0.97,8.185,412.12,0.195,103.15,33.84,243.0766667,0,8.126666667,101.7966667,14.14333333,38.03866667,189.165,0.17,2.302,48.57692308,3,2582.222222,42.61538462,3.184,6.211538462,2.834,0.246666667,0.59,18.66666667,NA,31974.29438,184528.4,16.505,NA,NA,3.8,4.71,0.51,47.9375,222.9333333,77.47,1
Steele Creek,0.525,1.82,0.445,0.705,NA,1,127.9,39.05666667,46.11,23.5,0.454,61.43333333,NA,NA,103.0933333,NA,NA,5.7,12.91,1.444,4.458888889,9.8375,0.2,1507.29625,NA,NA,0.7425,1.21,10,107.1766667,0.27,127.6125,7,153.23,0,10.31,45.32,9.916666667,26.84545455,176.11,NA,2.936666667,38.11111111,2.333333333,2318.8125,41.33333333,2.961666667,5.931111111,2.011666667,NA,NA,24.55555556,NA,37364.18083,449765.475,21.53333333,NA,NA,4,NA,NA,0.508333333,365.8,NA,1
Sterling Creek,2.3525,2.998,0.894,1.896,NA,1,316.1821429,66.7,165.9814286,28.285,0.465,22.24846154,1.34,7.116666667,101.2136364,0.58,0.16,22.63666667,0.996666667,1.123333333,7.646666667,8.16,0.1625,1943.836154,1.97,NA,0.51,2.764,12.2225,124.195,0.238,86.16375,48.255,248.2525,0,6.124,68.07666667,4.188181818,24.53047619,600,0.188333333,2.525,44.484375,2.5,2680.454545,40.25,3.755,6.170625,1.396666667,0.755,11.12,15.9375,1.7,19744.59192,138664.2,18.02285714,1.16,1.25,3.333333333,2.725,0.51,0.515714286,101.9925,57.09,1
Stewart Creek,0.34,6.695,3.37,5.76,NA,1,2301.855556,44.47,260.985,31.17,0.394,54.22625,NA,0.5925,141.7933333,NA,190.75,32.75,4.933333333,1.152857143,3.985,10.72272727,0.084,2086.525455,NA,NA,0.444,0.838,10.105,112.325,0.278,99.64333333,53.4575,186.35,0,8.636,68.682,5.155,19.463125,410,0.1125,2.161428571,34.03846154,2,2047.708333,40.5,3.597142857,6.01,1.707142857,NA,9.773333333,22.15384615,0.35,263261.5496,7744.31,29.7,NA,NA,4.25,NA,6.703333333,72.64833333,87.25,NA,1
Stony Creek,1.382,4.384,0.785,1.508,NA,1,629.0036364,28.33666667,129.184,20.90333333,0.385,46.08909091,0.506666667,10.42571429,93.079,0.21,63.66,6.3,9.246666667,15.804,5.833,9.826666667,0.14,1513.739,3.39,18,0.475,0.7675,9.253333333,2285.183571,0.254,82.2125,29.53333333,248.7475,0,10.26,78.26,2.426666667,28.64466667,500,0.16,2.642,39.13636364,2.833333333,2060.428571,41.40909091,3.48,6.140909091,2.466,0.05,4.57,21.27272727,NA,13364.25789,142166.73,21.206,NA,NA,3.333333333,2.486666667,0.406666667,72.65833333,168.075,67.78666667,1
Timmerman Creek,0.455,2.97,0.555,2.28,NA,1,823.4977778,NA,187.115,25.94666667,0.44,90.99777778,1.845,8.895,165.1555556,139.8025,0.37,1.95,3.6,1.006666667,7.899,8.866666667,0.09,1432.9575,5.92,NA,0.24,5.19,6.91,102.6690909,0.18,87.05,51.98,284.035,0,6.205,87.475,3.524285714,20.735,50,0.1225,2.61,35.93909091,2.285714286,3744.02125,37.43909091,3.105,6.170909091,2.015,1.04,0.59,12.59090909,1.135,225452.7219,338581.005,19.656,0.695,0.76,3.571428571,4.325,0.51,64.105,76.82,60.055,1
Trout Brook,0.55,4.975,3.24,4.54,NA,1,16634.97,34.83666667,47.21,24.034,0.3875,1691.955,1.11,6.54,81.36,278.595,182.565,15.734,9.2,1.271428571,5.24,12.47142857,0.135,1605.774286,NA,NA,0.495,0.725,6.996,110.14,0.2625,93.716,5.375,183.24,0,7.722,76.95,9.25,21.94666667,400,0.105,2.114285714,35.86285714,2,2309.288182,42.63071429,3.224285714,6.002857143,2.028571429,0.61,7.24,20.96428571,NA,306977.421,880228,27.2,NA,NA,3.5,3.36,1.89,160.935,175.16,63.66,1
Valatie Kill,NA,7.25,6.13,6.63,NA,1,8490.02875,28.93666667,44.05,25.675,0.398,823.0514286,NA,0.665,58.872,0.71,190.75,23.73333333,8.763333333,1.156666667,6.181428571,10.55714286,0.126,1903.702857,NA,NA,0.518,0.854,6.318,113.3677778,0.264,110.886,45.25,175.31,0,7.735,76.0875,10.325,32.88,533.3333333,0.14,2.46,33.30555556,2,1215.277778,42.55555556,3.755,6.092222222,1.473333333,NA,9.59,25.33333333,NA,4656.613333,1856092.5,22.375,NA,NA,4.5,NA,0.39,87.166,180.1,NA,1
Wappinger Creek,0.64,2.08,0.805,1.005,NA,1,78.4425,NA,233.8433333,NA,NA,6.06,NA,0.57,222.22,0.05,0.14,NA,0.2,1.14,11.72666667,8.445,NA,789.135,3.3,NA,NA,NA,NA,104.1933333,0.1,166.83,63.85,254,0,5.03,82.57,7.58,16.91875,NA,0.14,2.48,37.89285714,2,6788.5,38.42857143,2.86,6.157142857,2.12,NA,0.59,11.14285714,NA,24197.647,2289.886667,21.87666667,NA,NA,3.4,NA,0.51,0.48,153,NA,1
Wharton Hollow Creek,0.942,3.046,0.76,1.646,70,1,397.468,32.305,140.8266667,22,0.433333333,42.505,1.646666667,16.68,107.1522222,111.8,63.66,5.374,6.744,1.44,5.807272727,10.735,0.13,1365.285,3.39,14,0.47,2.608,8.395,2251.538182,0.225,86.62833333,63.25,237.3425,0,8.41,83.8075,8.89,33.21692308,225,0.153333333,2.155,30.75888889,2,2042.524286,39.70333333,3.3575,6.003333333,2.235,1.203333333,3.683333333,19.16666667,2.12,84314.15867,2131.0675,20.17666667,0.29,0.42,3.4,3.236666667,0.45,138.064,138.195,57.03333333,1
