PartSite,Species,Presence,Origin
Kinderhook Creek N,Dichanthelium clandestinum,1,N
Mill Brook N,Dichanthelium clandestinum,1,N
North Branch West Stony Creek N,Dichanthelium clandestinum,1,N
Potic Creek N,Dichanthelium clandestinum,1,N
Quacken Kill N,Dichanthelium clandestinum,1,N
Roeliff Jansen Kill N,Dichanthelium clandestinum,1,N
Snook Kill N,Dichanthelium clandestinum,1,N
Trout Brook N,Dichanthelium clandestinum,1,N
Fishkill Creek N,Dioscorea villosa,1,N
Boreas River N,Doellingeria umbellata,1,N
Cedar River N,Doellingeria umbellata,1,N
Daly Creek N,Doellingeria umbellata,1,N
Four Mile Brook N,Doellingeria umbellata,1,N
Hans Creek N,Doellingeria umbellata,1,N
Hudson River N,Doellingeria umbellata,1,N
Jassup River N,Doellingeria umbellata,1,N
Lansing Kill N,Doellingeria umbellata,1,N
Mill Brook N,Doellingeria umbellata,1,N
Mill Creek N,Doellingeria umbellata,1,N
Minots Corner Road N,Doellingeria umbellata,1,N
North Branch West Stony Creek N,Doellingeria umbellata,1,N
Robbs Creek N,Doellingeria umbellata,1,N
Snook Kill N,Doellingeria umbellata,1,N
Stewart Creek N,Doellingeria umbellata,1,N
Trout Brook N,Doellingeria umbellata,1,N
Lansing Kill N,Dryopteris carthusiana,1,N
Stewart Creek N,Dryopteris carthusiana,1,N
Evas Kill N,Dryopteris cristata,1,N
Ballston Creek N,Echinocystis lobata,1,N
Kayaderosseras Creek N,Echinocystis lobata,1,N
Alplaus Kill N,Elymus canadensis,1,N
Alplaus Kill N,Elymus canadensis,1,N
Boreas River N,Elymus canadensis,1,N
Cadman Creek N,Elymus canadensis,1,N
Hudson River N,Elymus canadensis,1,N
Indian Kill N,Elymus canadensis,1,N
Jassup River N,Elymus canadensis,1,N
Kinderhook Creek N,Elymus canadensis,1,N
Mill Brook N,Elymus canadensis,1,N
New Pond Brook N,Elymus canadensis,1,N
Plotter Kill N,Elymus canadensis,1,N
Quacken Kill N,Elymus canadensis,1,N
Robbs Creek N,Elymus canadensis,1,N
Snook Kill N,Elymus canadensis,1,N
Stony Creek N,Elymus hystrix,1,N
Cedar River N,Elymus trachycaulus,1,N
Beaver Kill N,Elymus virginicus,1,N
Saw Kill N,Elymus virginicus,1,N
Evas Kill N,Epilobium ciliatum,1,N
Snook Kill N,Epilobium ciliatum,1,N
Battenkill N,Equisetum fluviatile,1,N
Keyser Kill N,Equisetum fluviatile,1,N
Timmerman Creek N,Equisetum fluviatile,1,N
Timmerman Creek N,Equisetum hyemale,1,N
Cedar River N,Equisetum palustre,1,N
Alplaus Kill N,Equisetum pratense,1,N
Boreas River N,Equisetum pratense,1,N
Hans Creek N,Equisetum pratense,1,N
Potic Creek N,Equisetum pratense,1,N
Sherriff Lake Outlet N,Equisetum pratense,1,N
Snook Kill N,Equisetum pratense,1,N
Sterling Creek N,Equisetum pratense,1,N
Wappinger Creek N,Equisetum pratense,1,N
Keyser Kill N,Erigeron annuus,1,N
Kinderhook Creek N,Erigeron annuus,1,N
Landsman Kill N,Erigeron annuus,1,N
Paragon Brook N,Erigeron annuus,1,N
Potic Creek N,Erigeron annuus,1,N
Evas Kill N,Eupatorium perfoliatum,1,N
Fawn Lake N,Eupatorium perfoliatum,1,N
Mill Brook N,Eupatorium perfoliatum,1,N
Robbs Creek N,Eupatorium perfoliatum,1,N
Wharton Hollow Creek N,Eupatorium perfoliatum,1,N
Kayaderosseras Creek N,Euphorbia maculata,1,N
Alplaus Kill N,Eurybia divaricata,1,N
Ballston Creek N,Eurybia divaricata,1,N
Battenkill N,Eurybia divaricata,1,N
Daly Creek N,Eurybia divaricata,1,N
Fawn Lake N,Eurybia divaricata,1,N
Green River N,Eurybia divaricata,1,N
Hans Creek N,Eurybia divaricata,1,N
Indian Brook N,Eurybia divaricata,1,N
Indian Kill N,Eurybia divaricata,1,N
Kinderhook Creek N,Eurybia divaricata,1,N
Lansing Kill N,Eurybia divaricata,1,N
Potic Creek N,Eurybia divaricata,1,N
Quacken Kill N,Eurybia divaricata,1,N
Stony Creek N,Eurybia divaricata,1,N
Valatie Kill N,Eurybia divaricata,1,N
Cedar River N,Euthamia caroliniana,1,N
Beaver Kill N,Euthamia graminifolia,1,N
Boreas River N,Euthamia graminifolia,1,N
Cedar River N,Euthamia graminifolia,1,N
Chester Creek N,Euthamia graminifolia,1,N
Four Mile Brook N,Euthamia graminifolia,1,N
Jassup River N,Euthamia graminifolia,1,N
Kennyetto Creek N,Euthamia graminifolia,1,N
Landsman Kill N,Euthamia graminifolia,1,N
North Branch West Stony Creek N,Euthamia graminifolia,1,N
Potic Creek N,Euthamia graminifolia,1,N
Robbs Creek N,Euthamia graminifolia,1,N
Sterling Creek N,Euthamia graminifolia,1,N
Alplaus Kill N,Eutrochium maculatum,1,N
Boreas River N,Eutrochium maculatum,1,N
Cedar River N,Eutrochium maculatum,1,N
Cedar River N,Eutrochium maculatum,1,N
Cobleskill Creek N,Eutrochium maculatum,1,N
Evas Kill N,Eutrochium maculatum,1,N
Fawn Lake N,Eutrochium maculatum,1,N
Four Mile Brook N,Eutrochium maculatum,1,N
Green River N,Eutrochium maculatum,1,N
Hudson River N,Eutrochium maculatum,1,N
Keyser Kill N,Eutrochium maculatum,1,N
Mill Brook N,Eutrochium maculatum,1,N
Mill Creek N,Eutrochium maculatum,1,N
Mohawk River N,Eutrochium maculatum,1,N
North Branch West Stony Creek N,Eutrochium maculatum,1,N
North Branch West Stony Creek N,Eutrochium maculatum,1,N
Paragon Brook N,Eutrochium maculatum,1,N
Quacken Kill N,Eutrochium maculatum,1,N
Robbs Creek N,Eutrochium maculatum,1,N
Sherriff Lake Outlet N,Eutrochium maculatum,1,N
Sherriff Lake Outlet N,Eutrochium maculatum,1,N
Timmerman Creek N,Eutrochium maculatum,1,N
Trout Brook N,Eutrochium maculatum,1,N
Wharton Hollow Creek N,Eutrochium maculatum,1,N
Alplaus Kill N,Eutrochium purpureum,1,N
Cadman Creek N,Eutrochium purpureum,1,N
Hans Creek N,Eutrochium purpureum,1,N
Hans Creek N,Eutrochium purpureum,1,N
Indian Kill N,Eutrochium purpureum,1,N
Kennyetto Creek N,Eutrochium purpureum,1,N
Kinderhook Creek N,Eutrochium purpureum,1,N
New Pond Brook N,Eutrochium purpureum,1,N
Quacken Kill N,Eutrochium purpureum,1,N
Robbs Creek N,Eutrochium purpureum,1,N
Sherriff Lake Outlet N,Eutrochium purpureum,1,N
Snook Kill N,Eutrochium purpureum,1,N
Alplaus Kill N,Fagus grandifolia,1,N
Bullhead Pond Brook N,Fagus grandifolia,1,N
Cadman Creek N,Fagus grandifolia,1,N
Minots Corner Road N,Fagus grandifolia,1,N
Sherriff Lake Outlet N,Fagus grandifolia,1,N
Big Brook N,Fragaria vesca,1,N
Cedar River N,Fragaria vesca,1,N
Four Mile Brook N,Fragaria vesca,1,N
Hans Creek N,Fragaria vesca,1,N
Lansing Kill N,Fragaria vesca,1,N
Mill Creek N,Fragaria vesca,1,N
Minots Corner Road N,Fragaria vesca,1,N
New Pond Brook N,Fragaria vesca,1,N
Paragon Brook N,Fragaria vesca,1,N
Robbs Creek N,Fragaria vesca,1,N
Sterling Creek N,Fragaria vesca,1,N
Stewart Creek N,Fragaria vesca,1,N
Timmerman Creek N,Fragaria vesca,1,N
Ballston Creek N,Fraxinus americana,1,N
Battenkill N,Fraxinus americana,1,N
Big Brook N,Fraxinus americana,1,N
Bullhead Pond Brook N,Fraxinus americana,1,N
Fawn Lake N,Fraxinus americana,1,N
Fishkill Creek N,Fraxinus americana,1,N
Hans Creek N,Fraxinus americana,1,N
Indian Kill N,Fraxinus americana,1,N
Kinderhook Creek N,Fraxinus americana,1,N
Lansing Kill N,Fraxinus americana,1,N
Minots Corner Road N,Fraxinus americana,1,N
North Branch West Stony Creek N,Fraxinus americana,1,N
Quacken Kill N,Fraxinus americana,1,N
Saw Kill N,Fraxinus americana,1,N
Sprout Creek N,Fraxinus americana,1,N
Steele Creek N,Fraxinus americana,1,N
Stony Creek N,Fraxinus americana,1,N
Trout Brook N,Fraxinus americana,1,N
Valatie Kill N,Fraxinus americana,1,N
Wharton Hollow Creek N,Fraxinus americana,1,N
Stewart Creek N,Fraxinus nigra,1,N
Potic Creek N,Fraxinus pennsylvanica,1,N
Big Brook N,Galium aparine,1,N
Fawn Lake N,Galium aparine,1,N
Four Mile Brook N,Galium aparine,1,N
Robbs Creek N,Galium aparine,1,N
Sterling Creek N,Galium aparine,1,N
Cadman Creek N,Galium asprellum,1,N
Daly Creek N,Galium asprellum,1,N
Four Mile Brook N,Galium asprellum,1,N
Hudson River N,Galium asprellum,1,N
Mill Brook N,Galium asprellum,1,N
Mill Creek N,Galium asprellum,1,N
Paragon Brook N,Galium asprellum,1,N
Sherriff Lake Outlet N,Galium asprellum,1,N
Timmerman Creek N,Galium asprellum,1,N
Beaver Kill N,Galium boreale,1,N
Wappinger Creek N,Galium boreale,1,N
Wharton Hollow Creek N,Galium boreale,1,N
Alplaus Kill N,Galium palustre,1,N
Ballston Creek N,Galium palustre,1,N
Battenkill N,Galium palustre,1,N
Beaver Kill N,Galium palustre,1,N
Cedar River N,Galium palustre,1,N
Chester Creek N,Galium palustre,1,N
Jassup River N,Galium palustre,1,N
Kennyetto Creek N,Galium palustre,1,N
Kinderhook Creek N,Galium palustre,1,N
Landsman Kill N,Galium palustre,1,N
Mohawk River N,Galium palustre,1,N
Potic Creek N,Galium palustre,1,N
Quacken Kill N,Galium palustre,1,N
Roeliff Jansen Kill N,Galium palustre,1,N
Stony Creek N,Galium palustre,1,N
Wharton Hollow Creek N,Galium palustre,1,N
Roeliff Jansen Kill N,Galium triflorum,1,N
Hudson River N,Gentiana linearis,1,N
Landsman Kill N,Geum canadense,1,N
Mohawk River N,Geum canadense,1,N
Roeliff Jansen Kill N,Geum canadense,1,N
Snook Kill N,Geum canadense,1,N
Ballston Creek N,Glyceria striata,1,N
Cadman Creek N,Glyceria striata,1,N
Daly Creek N,Glyceria striata,1,N
Four Mile Brook N,Glyceria striata,1,N
Four Mile Brook N,Glyceria striata,1,N
Indian Kill N,Glyceria striata,1,N
Keyser Kill N,Glyceria striata,1,N
Mill Brook N,Glyceria striata,1,N
Mill Creek N,Glyceria striata,1,N
New Pond Brook N,Glyceria striata,1,N
New Pond Brook N,Glyceria striata,1,N
North Branch West Stony Creek N,Glyceria striata,1,N
Robbs Creek N,Glyceria striata,1,N
Sherriff Lake Outlet N,Glyceria striata,1,N
Timmerman Creek N,Glyceria striata,1,N
Ballston Creek N,Hamamelis virginiana,1,N
Hans Creek N,Hamamelis virginiana,1,N
Saw Kill N,Hamamelis virginiana,1,N
Sterling Creek N,Hamamelis virginiana,1,N
Ballston Creek N,Helianthus divaricatus,1,N
Kayaderosseras Creek N,Helianthus divaricatus,1,N
Steele Creek N,Helianthus divaricatus,1,N
Battenkill N,Helianthus strumosus,1,N
Valatie Kill N,Helianthus strumosus,1,N
Quacken Kill N,Helianthus tuberosus,1,N
Bullhead Pond Brook N,Heuchera villosa,1,N
Cadman Creek N,Heuchera villosa,1,N
Daly Creek N,Heuchera villosa,1,N
Robbs Creek N,Heuchera villosa,1,N
Stewart Creek N,Heuchera villosa,1,N
Robbs Creek N,Hypericum mutilum,1,N
Stony Creek N,Hypericum punctatum,1,N
Ballston Creek N,Impatiens capensis,1,N
Beaver Kill N,Impatiens capensis,1,N
Bullhead Pond Brook N,Impatiens capensis,1,N
Daly Creek N,Impatiens capensis,1,N
Fawn Lake N,Impatiens capensis,1,N
Fishkill Creek N,Impatiens capensis,1,N
Indian Brook N,Impatiens capensis,1,N
Indian Kill N,Impatiens capensis,1,N
Keyser Kill N,Impatiens capensis,1,N
Landsman Kill N,Impatiens capensis,1,N
Lansing Kill N,Impatiens capensis,1,N
Plotter Kill N,Impatiens capensis,1,N
Potic Creek N,Impatiens capensis,1,N
Quacken Kill N,Impatiens capensis,1,N
Roeliff Jansen Kill N,Impatiens capensis,1,N
Saw Kill N,Impatiens capensis,1,N
Snook Kill N,Impatiens capensis,1,N
Sprout Creek N,Impatiens capensis,1,N
Stony Creek N,Impatiens capensis,1,N
Ballston Creek N,Impatiens pallida,1,N
Evas Kill N,Impatiens pallida,1,N
Mohawk River N,Impatiens pallida,1,N
Plotter Kill N,Impatiens pallida,1,N
Cadman Creek N,Juglans cinerea,1,N
Quacken Kill N,Juglans cinerea,1,N
Hudson River N,Juglans nigra,1,N
Landsman Kill N,Juglans nigra,1,N
Four Mile Brook N,Juncus articulatus,1,N
Timmerman Creek N,Juncus articulatus,1,N
Cedar River N,Juncus filiformis,1,N
Four Mile Brook N,Juncus filiformis,1,N
Alplaus Kill N,Laportea canadensis,1,N
Ballston Creek N,Laportea canadensis,1,N
Evas Kill N,Laportea canadensis,1,N
Landsman Kill N,Laportea canadensis,1,N
Snook Kill N,Laportea canadensis,1,N
Indian Brook N,Lindera benzoin,1,N
Battenkill N,Liparis loeselii,1,N
Mill Creek N,Liparis loeselii,1,N
Stewart Creek N,Liparis loeselii,1,N
Ballston Creek N,Lobelia cardinalis,1,N
Jassup River N,Lobelia cardinalis,1,N
Mill Brook N,Lobelia cardinalis,1,N
Mill Creek N,Lobelia cardinalis,1,N
Paragon Brook N,Lobelia cardinalis,1,N
Stewart Creek N,Lobelia cardinalis,1,N
Timmerman Creek N,Lobelia cardinalis,1,N
Trout Brook N,Lobelia cardinalis,1,N
Kinderhook Creek N,Lobelia inflata,1,N
Evas Kill N,Lobelia siphilitica,1,N
Snook Kill N,Lobelia siphilitica,1,N
Chester Creek N,Ludwigia palustris,1,N
Jassup River N,Ludwigia palustris,1,N
Hudson River N,Lycopus americanus,1,N
Boreas River N,Lycopus rubellus,1,N
Cadman Creek N,Lycopus rubellus,1,N
Cedar River N,Lycopus rubellus,1,N
Chester Creek N,Lycopus rubellus,1,N
Evas Kill N,Lycopus rubellus,1,N
Four Mile Brook N,Lycopus rubellus,1,N
Lansing Kill N,Lycopus rubellus,1,N
New Pond Brook N,Lycopus rubellus,1,N
North Branch West Stony Creek N,Lycopus rubellus,1,N
Robbs Creek N,Lycopus rubellus,1,N
Sherriff Lake Outlet N,Lycopus rubellus,1,N
Snook Kill N,Lycopus rubellus,1,N
Sterling Creek N,Lycopus rubellus,1,N
Stewart Creek N,Lycopus rubellus,1,N
Trout Brook N,Lycopus rubellus,1,N
Battenkill N,Lysimachia ciliata,1,N
Beaver Kill N,Lysimachia ciliata,1,N
Mill Brook N,Lysimachia ciliata,1,N
Mohawk River N,Lysimachia ciliata,1,N
Wharton Hollow Creek N,Lysimachia ciliata,1,N
Ballston Creek N,Lysimachia quadrifolia,1,N
Fawn Lake N,Lysimachia terrestris,1,N
Bullhead Pond Brook N,Maianthemum racemosum,1,N
Cadman Creek N,Maianthemum racemosum,1,N
Hans Creek N,Maianthemum racemosum,1,N
Indian Kill N,Maianthemum racemosum,1,N
Kennyetto Creek N,Maianthemum racemosum,1,N
Kinderhook Creek N,Maianthemum racemosum,1,N
Lansing Kill N,Maianthemum racemosum,1,N
Minots Corner Road N,Maianthemum racemosum,1,N
Mohawk River N,Maianthemum racemosum,1,N
North Branch West Stony Creek N,Maianthemum racemosum,1,N
Robbs Creek N,Maianthemum racemosum,1,N
Stewart Creek N,Maianthemum racemosum,1,N
Trout Brook N,Maianthemum racemosum,1,N
Valatie Kill N,Maianthemum racemosum,1,N
Alplaus Kill N,Matteuccia struthiopteris,1,N
Ballston Creek N,Matteuccia struthiopteris,1,N
Hans Creek N,Matteuccia struthiopteris,1,N
Indian Kill N,Matteuccia struthiopteris,1,N
Mill Creek N,Matteuccia struthiopteris,1,N
Minots Corner Road N,Matteuccia struthiopteris,1,N
Jassup River N,Mimulus ringens,1,N
Kayaderosseras Creek N,Mimulus ringens,1,N
Snook Kill N,Mimulus ringens,1,N
Trout Brook N,Mitchella repens,1,N
Stony Creek N,Monotropa uniflora,1,N
Quacken Kill N,Muhlenbergia mexicana,1,N
Alplaus Kill N,Myosotis laxa,1,N
Ballston Creek N,Myosotis laxa,1,N
Evas Kill N,Myosotis laxa,1,N
Kayaderosseras Creek N,Myosotis laxa,1,N
Keyser Kill N,Myosotis laxa,1,N
Boreas River N,Myrica gale,1,N
Chester Creek N,Myrica gale,1,N
Paragon Brook N,Myrica gale,1,N
Bullhead Pond Brook N,Oclemena acuminata,1,N
Stewart Creek N,Oclemena acuminata,1,N
Keyser Kill N,Oenethera biennis,1,N
Snook Kill N,Oenethera biennis,1,N
Sterling Creek N,Oenethera biennis,1,N
Timmerman Creek N,Oenethera biennis,1,N
Alplaus Kill N,Onoclea sensibilis,1,N
Ballston Creek N,Onoclea sensibilis,1,N
Battenkill N,Onoclea sensibilis,1,N
Beaver Kill N,Onoclea sensibilis,1,N
Boreas River N,Onoclea sensibilis,1,N
Cadman Creek N,Onoclea sensibilis,1,N
Cedar River N,Onoclea sensibilis,1,N
Chester Creek N,Onoclea sensibilis,1,N
Daly Creek N,Onoclea sensibilis,1,N
Fawn Lake N,Onoclea sensibilis,1,N
Four Mile Brook N,Onoclea sensibilis,1,N
Green River N,Onoclea sensibilis,1,N
Hans Creek N,Onoclea sensibilis,1,N
Indian Brook N,Onoclea sensibilis,1,N
Indian Kill N,Onoclea sensibilis,1,N
Jassup River N,Onoclea sensibilis,1,N
Kennyetto Creek N,Onoclea sensibilis,1,N
Kinderhook Creek N,Onoclea sensibilis,1,N
Mill Brook N,Onoclea sensibilis,1,N
Mill Creek N,Onoclea sensibilis,1,N
Minots Corner Road N,Onoclea sensibilis,1,N
Mohawk River N,Onoclea sensibilis,1,N
Paragon Brook N,Onoclea sensibilis,1,N
Potic Creek N,Onoclea sensibilis,1,N
Quacken Kill N,Onoclea sensibilis,1,N
Robbs Creek N,Onoclea sensibilis,1,N
Roeliff Jansen Kill N,Onoclea sensibilis,1,N
Sherriff Lake Outlet N,Onoclea sensibilis,1,N
Snook Kill N,Onoclea sensibilis,1,N
Sprout Creek N,Onoclea sensibilis,1,N
Timmerman Creek N,Onoclea sensibilis,1,N
Trout Brook N,Onoclea sensibilis,1,N
Wharton Hollow Creek N,Onoclea sensibilis,1,N
Robbs Creek N,Osmunda cinnamomea,1,N
Boreas River N,Osmunda regalis,1,N
Chester Creek N,Osmunda regalis,1,N
Daly Creek N,Osmunda regalis,1,N
Trout Brook N,Osmunda regalis,1,N
Alplaus Kill N,Ostrya virginiana,1,N
Ballston Creek N,Ostrya virginiana,1,N
Lansing Kill N,Ostrya virginiana,1,N
Minots Corner Road N,Ostrya virginiana,1,N
Sterling Creek N,Ostrya virginiana,1,N
Timmerman Creek N,Ostrya virginiana,1,N
Valatie Kill N,Ostrya virginiana,1,N
Alplaus Kill N,Oxalis stricta,1,N
Battenkill N,Oxalis stricta,1,N
Boreas River N,Oxalis stricta,1,N
Cedar River N,Oxalis stricta,1,N
Fishkill Creek N,Oxalis stricta,1,N
Hans Creek N,Oxalis stricta,1,N
Indian Brook N,Oxalis stricta,1,N
Kayaderosseras Creek N,Oxalis stricta,1,N
Keyser Kill N,Oxalis stricta,1,N
Kinderhook Creek N,Oxalis stricta,1,N
Landsman Kill N,Oxalis stricta,1,N
Mill Brook N,Oxalis stricta,1,N
Minots Corner Road N,Oxalis stricta,1,N
Potic Creek N,Oxalis stricta,1,N
Quacken Kill N,Oxalis stricta,1,N
Roeliff Jansen Kill N,Oxalis stricta,1,N
Sherriff Lake Outlet N,Oxalis stricta,1,N
Snook Kill N,Oxalis stricta,1,N
Sterling Creek N,Oxalis stricta,1,N
Stony Creek N,Oxalis stricta,1,N
Beaver Kill N,Panicum dichotomiflorum,1,N
Potic Creek N,Panicum dichotomiflorum,1,N
Sprout Creek N,Panicum dichotomiflorum,1,N
Wappinger Creek N,Panicum dichotomiflorum,1,N
Alplaus Kill N,Parthenocissus quinquefolia,1,N
Ballston Creek N,Parthenocissus quinquefolia,1,N
Battenkill N,Parthenocissus quinquefolia,1,N
Big Brook N,Parthenocissus quinquefolia,1,N
Daly Creek N,Parthenocissus quinquefolia,1,N
Evas Kill N,Parthenocissus quinquefolia,1,N
Fishkill Creek N,Parthenocissus quinquefolia,1,N
Four Mile Brook N,Parthenocissus quinquefolia,1,N
Indian Kill N,Parthenocissus quinquefolia,1,N
Kayaderosseras Creek N,Parthenocissus quinquefolia,1,N
Kinderhook Creek N,Parthenocissus quinquefolia,1,N
Lansing Kill N,Parthenocissus quinquefolia,1,N
Minots Corner Road N,Parthenocissus quinquefolia,1,N
Mohawk River N,Parthenocissus quinquefolia,1,N
Paragon Brook N,Parthenocissus quinquefolia,1,N
Potic Creek N,Parthenocissus quinquefolia,1,N
Quacken Kill N,Parthenocissus quinquefolia,1,N
Roeliff Jansen Kill N,Parthenocissus quinquefolia,1,N
Snook Kill N,Parthenocissus quinquefolia,1,N
Sprout Creek N,Parthenocissus quinquefolia,1,N
Steele Creek N,Parthenocissus quinquefolia,1,N
Sterling Creek N,Parthenocissus quinquefolia,1,N
Wappinger Creek N,Parthenocissus quinquefolia,1,N
Boreas River N,Peltandra virginica,1,N
Boreas River N,Phalaris arundinacea,1,N
Cobleskill Creek N,Phalaris arundinacea,1,N
Fawn Lake N,Phalaris arundinacea,1,N
Keyser Kill N,Phalaris arundinacea,1,N
North Branch West Stony Creek N,Phalaris arundinacea,1,N
Sprout Creek N,Phalaris arundinacea,1,N
Bullhead Pond Brook N,Phegopteris connectilis,1,N
Hudson River N,Phegopteris connectilis,1,N
Four Mile Brook N,Phegopteris hexagonoptera,1,N
New Pond Brook N,Phegopteris hexagonoptera,1,N
Sherriff Lake Outlet N,Phegopteris hexagonoptera,1,N
Stewart Creek N,Phegopteris hexagonoptera,1,N
Timmerman Creek N,Phegopteris hexagonoptera,1,N
Alplaus Kill N,Pilea pumila,1,N
Ballston Creek N,Pilea pumila,1,N
Evas Kill N,Pilea pumila,1,N
Fishkill Creek N,Pilea pumila,1,N
Indian Brook N,Pilea pumila,1,N
Indian Kill N,Pilea pumila,1,N
Kinderhook Creek N,Pilea pumila,1,N
Landsman Kill N,Pilea pumila,1,N
Lansing Kill N,Pilea pumila,1,N
Minots Corner Road N,Pilea pumila,1,N
Potic Creek N,Pilea pumila,1,N
Quacken Kill N,Pilea pumila,1,N
Roeliff Jansen Kill N,Pilea pumila,1,N
Saw Kill N,Pilea pumila,1,N
Snook Kill N,Pilea pumila,1,N
Sprout Creek N,Pilea pumila,1,N
Sterling Creek N,Pilea pumila,1,N
Stony Creek N,Pilea pumila,1,N
Wappinger Creek N,Pilea pumila,1,N
Cadman Creek N,Pinus strobus,1,N
Mill Creek N,Pinus strobus,1,N
Paragon Brook N,Pinus strobus,1,N
Kinderhook Creek N,Platanus occidentalis,1,N
Landsman Kill N,Platanus occidentalis,1,N
Sprout Creek N,Platanus occidentalis,1,N
Beaver Kill N,Polygonum amphibium,1,N
Cobleskill Creek N,Polygonum amphibium,1,N
Potic Creek N,Polygonum amphibium,1,N
Roeliff Jansen Kill N,Polygonum amphibium,1,N
Ballston Creek N,Polygonum arifolium,1,N
Beaver Kill N,Polygonum cilinode,1,N
Wappinger Creek N,Polygonum hydropiperoides,1,N
Evas Kill N,Polygonum punctatum,1,N
Kennyetto Creek N,Polygonum punctatum,1,N
Quacken Kill N,Polygonum punctatum,1,N
Beaver Kill N,Polygonum sagittatum,1,N
Cadman Creek N,Polygonum sagittatum,1,N
Daly Creek N,Polygonum sagittatum,1,N
Fawn Lake N,Polygonum sagittatum,1,N
Indian Brook N,Polygonum sagittatum,1,N
New Pond Brook N,Polygonum sagittatum,1,N
North Branch West Stony Creek N,Polygonum sagittatum,1,N
Potic Creek N,Polygonum sagittatum,1,N
Saw Kill N,Polygonum sagittatum,1,N
Sherriff Lake Outlet N,Polygonum sagittatum,1,N
Alplaus Kill N,Polygonum virginianum,1,N
Indian Kill N,Polygonum virginianum,1,N
Kennyetto Creek N,Polygonum virginianum,1,N
Kinderhook Creek N,Polygonum virginianum,1,N
Lansing Kill N,Polygonum virginianum,1,N
Snook Kill N,Polygonum virginianum,1,N
Bullhead Pond Brook N,Polystichum acrostichoides,1,N
Indian Kill N,Polystichum acrostichoides,1,N
Ballston Creek N,Populus deltoides,1,N
Cadman Creek N,Populus deltoides,1,N
Cobleskill Creek N,Populus deltoides,1,N
Evas Kill N,Populus deltoides,1,N
Fishkill Creek N,Populus deltoides,1,N
Kayaderosseras Creek N,Populus deltoides,1,N
Keyser Kill N,Populus deltoides,1,N
Plotter Kill N,Populus deltoides,1,N
Quacken Kill N,Populus deltoides,1,N
Big Brook N,Potentilla simplex,1,N
Cedar River N,Potentilla simplex,1,N
Four Mile Brook N,Potentilla simplex,1,N
Hans Creek N,Potentilla simplex,1,N
Keyser Kill N,Potentilla simplex,1,N
New Pond Brook N,Potentilla simplex,1,N
North Branch West Stony Creek N,Potentilla simplex,1,N
Paragon Brook N,Potentilla simplex,1,N
Roeliff Jansen Kill N,Potentilla simplex,1,N
Stewart Creek N,Potentilla simplex,1,N
Stony Creek N,Potentilla simplex,1,N
Bullhead Pond Brook N,Prenanthes alba,1,N
Cadman Creek N,Prenanthes altissima,1,N
Daly Creek N,Prenanthes altissima,1,N
Sherriff Lake Outlet N,Prenanthes trifoliolata,1,N
Stewart Creek N,Prenanthes trifoliolata,1,N
Trout Brook N,Prenanthes trifoliolata,1,N
Big Brook N,Prunella vulgaris,1,N
Boreas River N,Prunella vulgaris,1,N
Cedar River N,Prunella vulgaris,1,N
Daly Creek N,Prunella vulgaris,1,N
Evas Kill N,Prunella vulgaris,1,N
Four Mile Brook N,Prunella vulgaris,1,N
Hans Creek N,Prunella vulgaris,1,N
Hudson River N,Prunella vulgaris,1,N
Indian Kill N,Prunella vulgaris,1,N
Kayaderosseras Creek N,Prunella vulgaris,1,N
Keyser Kill N,Prunella vulgaris,1,N
Kinderhook Creek N,Prunella vulgaris,1,N
Mill Creek N,Prunella vulgaris,1,N
Paragon Brook N,Prunella vulgaris,1,N
Potic Creek N,Prunella vulgaris,1,N
Sprout Creek N,Prunella vulgaris,1,N
Sterling Creek N,Prunella vulgaris,1,N
Stony Creek N,Prunella vulgaris,1,N
Timmerman Creek N,Prunella vulgaris,1,N
Wappinger Creek N,Prunella vulgaris,1,N
Wharton Hollow Creek N,Prunella vulgaris,1,N
Chester Creek N,Prunus americana,1,N
Cadman Creek N,Prunus serotina,1,N
Lansing Kill N,Prunus serotina,1,N
Snook Kill N,Prunus serotina,1,N
Battenkill N,Prunus virginiana,1,N
Big Brook N,Prunus virginiana,1,N
Hans Creek N,Prunus virginiana,1,N
Kennyetto Creek N,Prunus virginiana,1,N
Mill Creek N,Prunus virginiana,1,N
Minots Corner Road N,Prunus virginiana,1,N
Mohawk River N,Prunus virginiana,1,N
New Pond Brook N,Prunus virginiana,1,N
North Branch West Stony Creek N,Prunus virginiana,1,N
Stewart Creek N,Prunus virginiana,1,N
Trout Brook N,Prunus virginiana,1,N
Valatie Kill N,Prunus virginiana,1,N
North Branch West Stony Creek N,Pteridium aquilinum,1,N
Stony Creek N,Quercus alba,1,N
Fishkill Creek N,Quercus prinoides,1,N
Hans Creek N,Quercus velutina,1,N
Fawn Lake N,Ranunculus pensylvanicus,1,N
Indian Brook N,Ranunculus pensylvanicus,1,N
Wharton Hollow Creek N,Ranunculus pensylvanicus,1,N
Roeliff Jansen Kill N,Ranunculus recurvatus,1,N
Indian Brook N,Rhamnus alnifolia,1,N
Big Brook N,Rhus typhina,1,N
Minots Corner Road N,Rhus typhina,1,N
Plotter Kill N,Rhus typhina,1,N
Steele Creek N,Rhus typhina,1,N
Sterling Creek N,Rhus typhina,1,N
Indian Brook N,Robinia pseudoacacia,1,N
Roeliff Jansen Kill N,Robinia pseudoacacia,1,N
