River,Species,Presence,Origin
Stewart Creek,dryopteris_carthusiana,1,N
Evas Kill,dryopteris_cristata,1,N
Ballston Creek,echinocystis_lobata,1,N
Kayaderosseras Creek,echinocystis_lobata,1,N
Alplaus Kill,elymus_canadensis,1,N
Alplaus Kill,elymus_canadensis,1,N
Boreas River,elymus_canadensis,1,N
Cadman Creek,elymus_canadensis,1,N
Hudson River,elymus_canadensis,1,N
Indian Kill,elymus_canadensis,1,N
Jassup River,elymus_canadensis,1,N
Kinderhook Creek,elymus_canadensis,1,N
Mill Brook,elymus_canadensis,1,N
New Pond Brook,elymus_canadensis,1,N
Plotter Kill,elymus_canadensis,1,N
Quacken Kill,elymus_canadensis,1,N
Robbs Creek,elymus_canadensis,1,N
Snook Kill,elymus_canadensis,1,N
Stony Creek,elymus_hystrix,1,N
Cedar River,elymus_trachycaulus,1,N
Beaver Kill,elymus_virginicus,1,N
Saw Kill,elymus_virginicus,1,N
Evas Kill,epilobium_ciliatum,1,N
Snook Kill,epilobium_ciliatum,1,N
Battenkill,equisetum_fluviatile,1,N
Keyser Kill,equisetum_fluviatile,1,N
Timmerman Creek,equisetum_fluviatile,1,N
Timmerman Creek,equisetum_hyemale,1,N
Cedar River,equisetum_palustre,1,N
Alplaus Kill,equisetum_pratense,1,N
Boreas River,equisetum_pratense,1,N
Hans Creek,equisetum_pratense,1,N
Potic Creek,equisetum_pratense,1,N
Sherriff Lake Outlet,equisetum_pratense,1,N
Snook Kill,equisetum_pratense,1,N
Sterling Creek,equisetum_pratense,1,N
Wappinger Creek,equisetum_pratense,1,N
Keyser Kill,erigeron_annuus,1,N
Kinderhook Creek,erigeron_annuus,1,N
Landsman Kill,erigeron_annuus,1,N
Paragon Brook,erigeron_annuus,1,N
Potic Creek,erigeron_annuus,1,N
Evas Kill,eupatorium_perfoliatum,1,N
Fawn Lake,eupatorium_perfoliatum,1,N
Mill Brook,eupatorium_perfoliatum,1,N
Robbs Creek,eupatorium_perfoliatum,1,N
Wharton Hollow Creek,eupatorium_perfoliatum,1,N
Kayaderosseras Creek,euphorbia_maculata,1,N
Alplaus Kill,eurybia_divaricata,1,N
Ballston Creek,eurybia_divaricata,1,N
Battenkill,eurybia_divaricata,1,N
Daly Creek,eurybia_divaricata,1,N
Fawn Lake,eurybia_divaricata,1,N
Green River,eurybia_divaricata,1,N
Hans Creek,eurybia_divaricata,1,N
Indian Brook,eurybia_divaricata,1,N
Indian Kill,eurybia_divaricata,1,N
Kinderhook Creek,eurybia_divaricata,1,N
Lansing Kill,eurybia_divaricata,1,N
Potic Creek,eurybia_divaricata,1,N
Quacken Kill,eurybia_divaricata,1,N
Stony Creek,eurybia_divaricata,1,N
Valatie Kill,eurybia_divaricata,1,N
Cedar River,euthamia_caroliniana,1,N
Beaver Kill,euthamia_graminifolia,1,N
Boreas River,euthamia_graminifolia,1,N
Cedar River,euthamia_graminifolia,1,N
Chester Creek,euthamia_graminifolia,1,N
Four Mile Brook,euthamia_graminifolia,1,N
Jassup River,euthamia_graminifolia,1,N
Kennyetto Creek,euthamia_graminifolia,1,N
Landsman Kill,euthamia_graminifolia,1,N
North Branch West Stony Creek,euthamia_graminifolia,1,N
Potic Creek,euthamia_graminifolia,1,N
Robbs Creek,euthamia_graminifolia,1,N
Sterling Creek,euthamia_graminifolia,1,N
Alplaus Kill,eutrochium_maculatum,1,N
Boreas River,eutrochium_maculatum,1,N
Cedar River,eutrochium_maculatum,1,N
Cedar River,eutrochium_maculatum,1,N
Cobleskill Creek,eutrochium_maculatum,1,N
Evas Kill,eutrochium_maculatum,1,N
Fawn Lake,eutrochium_maculatum,1,N
Four Mile Brook,eutrochium_maculatum,1,N
Green River,eutrochium_maculatum,1,N
Hudson River,eutrochium_maculatum,1,N
Keyser Kill,eutrochium_maculatum,1,N
Mill Brook,eutrochium_maculatum,1,N
Mill Creek,eutrochium_maculatum,1,N
Mohawk River,eutrochium_maculatum,1,N
North Branch West Stony Creek,eutrochium_maculatum,1,N
North Branch West Stony Creek,eutrochium_maculatum,1,N
Paragon Brook,eutrochium_maculatum,1,N
Quacken Kill,eutrochium_maculatum,1,N
Robbs Creek,eutrochium_maculatum,1,N
Sherriff Lake Outlet,eutrochium_maculatum,1,N
Sherriff Lake Outlet,eutrochium_maculatum,1,N
Timmerman Creek,eutrochium_maculatum,1,N
Trout Brook,eutrochium_maculatum,1,N
Wharton Hollow Creek,eutrochium_maculatum,1,N
Alplaus Kill,eutrochium_purpureum,1,N
Cadman Creek,eutrochium_purpureum,1,N
Hans Creek,eutrochium_purpureum,1,N
Hans Creek,eutrochium_purpureum,1,N
Indian Kill,eutrochium_purpureum,1,N
Kennyetto Creek,eutrochium_purpureum,1,N
Kinderhook Creek,eutrochium_purpureum,1,N
New Pond Brook,eutrochium_purpureum,1,N
Quacken Kill,eutrochium_purpureum,1,N
Robbs Creek,eutrochium_purpureum,1,N
Sherriff Lake Outlet,eutrochium_purpureum,1,N
Snook Kill,eutrochium_purpureum,1,N
Alplaus Kill,fagus_grandifolia,1,N
Bullhead Pond Brook,fagus_grandifolia,1,N
Cadman Creek,fagus_grandifolia,1,N
Minots Corner Road,fagus_grandifolia,1,N
Sherriff Lake Outlet,fagus_grandifolia,1,N
Big Brook,fragaria_vesca,1,N
Cedar River,fragaria_vesca,1,N
Four Mile Brook,fragaria_vesca,1,N
Hans Creek,fragaria_vesca,1,N
Lansing Kill,fragaria_vesca,1,N
Mill Creek,fragaria_vesca,1,N
Minots Corner Road,fragaria_vesca,1,N
New Pond Brook,fragaria_vesca,1,N
Paragon Brook,fragaria_vesca,1,N
Robbs Creek,fragaria_vesca,1,N
Sterling Creek,fragaria_vesca,1,N
Stewart Creek,fragaria_vesca,1,N
Timmerman Creek,fragaria_vesca,1,N
Ballston Creek,fraxinus_americana,1,N
Battenkill,fraxinus_americana,1,N
Big Brook,fraxinus_americana,1,N
Bullhead Pond Brook,fraxinus_americana,1,N
Fawn Lake,fraxinus_americana,1,N
Fishkill Creek,fraxinus_americana,1,N
Hans Creek,fraxinus_americana,1,N
Indian Kill,fraxinus_americana,1,N
Kinderhook Creek,fraxinus_americana,1,N
Lansing Kill,fraxinus_americana,1,N
Minots Corner Road,fraxinus_americana,1,N
North Branch West Stony Creek,fraxinus_americana,1,N
Quacken Kill,fraxinus_americana,1,N
Saw Kill,fraxinus_americana,1,N
Sprout Creek,fraxinus_americana,1,N
Steele Creek,fraxinus_americana,1,N
Stony Creek,fraxinus_americana,1,N
Trout Brook,fraxinus_americana,1,N
Valatie Kill,fraxinus_americana,1,N
Wharton Hollow Creek,fraxinus_americana,1,N
Stewart Creek,fraxinus_nigra,1,N
Potic Creek,fraxinus_pennsylvanica,1,N
Big Brook,galium_aparine,1,N
Fawn Lake,galium_aparine,1,N
Four Mile Brook,galium_aparine,1,N
Robbs Creek,galium_aparine,1,N
Sterling Creek,galium_aparine,1,N
Cadman Creek,galium_asprellum,1,N
Daly Creek,galium_asprellum,1,N
Four Mile Brook,galium_asprellum,1,N
Hudson River,galium_asprellum,1,N
Mill Brook,galium_asprellum,1,N
Mill Creek,galium_asprellum,1,N
Paragon Brook,galium_asprellum,1,N
Sherriff Lake Outlet,galium_asprellum,1,N
Timmerman Creek,galium_asprellum,1,N
Beaver Kill,galium_boreale,1,N
Wappinger Creek,galium_boreale,1,N
Wharton Hollow Creek,galium_boreale,1,N
Alplaus Kill,galium_palustre,1,N
Ballston Creek,galium_palustre,1,N
Battenkill,galium_palustre,1,N
Beaver Kill,galium_palustre,1,N
Cedar River,galium_palustre,1,N
Chester Creek,galium_palustre,1,N
Jassup River,galium_palustre,1,N
Kennyetto Creek,galium_palustre,1,N
Kinderhook Creek,galium_palustre,1,N
Landsman Kill,galium_palustre,1,N
Mohawk River,galium_palustre,1,N
Potic Creek,galium_palustre,1,N
Quacken Kill,galium_palustre,1,N
Roeliff Jansen Kill,galium_palustre,1,N
Stony Creek,galium_palustre,1,N
Wharton Hollow Creek,galium_palustre,1,N
Roeliff Jansen Kill,galium_triflorum,1,N
Hudson River,gentiana_linearis,1,N
Landsman Kill,geum_canadense,1,N
Mohawk River,geum_canadense,1,N
Roeliff Jansen Kill,geum_canadense,1,N
Snook Kill,geum_canadense,1,N
Ballston Creek,glyceria_striata,1,N
Cadman Creek,glyceria_striata,1,N
Daly Creek,glyceria_striata,1,N
Four Mile Brook,glyceria_striata,1,N
Four Mile Brook,glyceria_striata,1,N
Indian Kill,glyceria_striata,1,N
Keyser Kill,glyceria_striata,1,N
Mill Brook,glyceria_striata,1,N
Mill Creek,glyceria_striata,1,N
New Pond Brook,glyceria_striata,1,N
New Pond Brook,glyceria_striata,1,N
North Branch West Stony Creek,glyceria_striata,1,N
Robbs Creek,glyceria_striata,1,N
Sherriff Lake Outlet,glyceria_striata,1,N
Timmerman Creek,glyceria_striata,1,N
Ballston Creek,hamamelis_virginiana,1,N
Hans Creek,hamamelis_virginiana,1,N
Saw Kill,hamamelis_virginiana,1,N
Sterling Creek,hamamelis_virginiana,1,N
Ballston Creek,helianthus_divaricatus,1,N
Kayaderosseras Creek,helianthus_divaricatus,1,N
Steele Creek,helianthus_divaricatus,1,N
Battenkill,helianthus_strumosus,1,N
Valatie Kill,helianthus_strumosus,1,N
Quacken Kill,helianthus_tuberosus,1,N
Bullhead Pond Brook,heuchera_villosa,1,N
Cadman Creek,heuchera_villosa,1,N
Daly Creek,heuchera_villosa,1,N
Robbs Creek,heuchera_villosa,1,N
Stewart Creek,heuchera_villosa,1,N
Robbs Creek,hypericum_mutilum,1,N
Stony Creek,hypericum_punctatum,1,N
Ballston Creek,impatiens_capensis,1,N
Beaver Kill,impatiens_capensis,1,N
Bullhead Pond Brook,impatiens_capensis,1,N
Daly Creek,impatiens_capensis,1,N
Fawn Lake,impatiens_capensis,1,N
Fishkill Creek,impatiens_capensis,1,N
Indian Brook,impatiens_capensis,1,N
Indian Kill,impatiens_capensis,1,N
Keyser Kill,impatiens_capensis,1,N
Landsman Kill,impatiens_capensis,1,N
Lansing Kill,impatiens_capensis,1,N
Plotter Kill,impatiens_capensis,1,N
Potic Creek,impatiens_capensis,1,N
Quacken Kill,impatiens_capensis,1,N
Roeliff Jansen Kill,impatiens_capensis,1,N
Saw Kill,impatiens_capensis,1,N
Snook Kill,impatiens_capensis,1,N
Sprout Creek,impatiens_capensis,1,N
Stony Creek,impatiens_capensis,1,N
Ballston Creek,impatiens_pallida,1,N
Evas Kill,impatiens_pallida,1,N
Mohawk River,impatiens_pallida,1,N
Plotter Kill,impatiens_pallida,1,N
Cadman Creek,juglans_cinerea,1,N
Quacken Kill,juglans_cinerea,1,N
Hudson River,juglans_nigra,1,N
Landsman Kill,juglans_nigra,1,N
Four Mile Brook,juncus_articulatus,1,N
Timmerman Creek,juncus_articulatus,1,N
Cedar River,juncus_filiformis,1,N
Four Mile Brook,juncus_filiformis,1,N
Alplaus Kill,laportea_canadensis,1,N
Ballston Creek,laportea_canadensis,1,N
Evas Kill,laportea_canadensis,1,N
Landsman Kill,laportea_canadensis,1,N
Snook Kill,laportea_canadensis,1,N
Indian Brook,lindera_benzoin,1,N
Battenkill,liparis_loeselii,1,N
Mill Creek,liparis_loeselii,1,N
Stewart Creek,liparis_loeselii,1,N
Ballston Creek,lobelia_cardinalis,1,N
Jassup River,lobelia_cardinalis,1,N
Mill Brook,lobelia_cardinalis,1,N
Mill Creek,lobelia_cardinalis,1,N
Paragon Brook,lobelia_cardinalis,1,N
Stewart Creek,lobelia_cardinalis,1,N
Timmerman Creek,lobelia_cardinalis,1,N
Trout Brook,lobelia_cardinalis,1,N
Kinderhook Creek,lobelia_inflata,1,N
Evas Kill,lobelia_siphilitica,1,N
Snook Kill,lobelia_siphilitica,1,N
Chester Creek,ludwigia_palustris,1,N
Jassup River,ludwigia_palustris,1,N
Hudson River,lycopus_americanus,1,N
Boreas River,lycopus_rubellus,1,N
Cadman Creek,lycopus_rubellus,1,N
Cedar River,lycopus_rubellus,1,N
Chester Creek,lycopus_rubellus,1,N
Evas Kill,lycopus_rubellus,1,N
Four Mile Brook,lycopus_rubellus,1,N
Lansing Kill,lycopus_rubellus,1,N
New Pond Brook,lycopus_rubellus,1,N
North Branch West Stony Creek,lycopus_rubellus,1,N
Robbs Creek,lycopus_rubellus,1,N
Sherriff Lake Outlet,lycopus_rubellus,1,N
Snook Kill,lycopus_rubellus,1,N
Sterling Creek,lycopus_rubellus,1,N
Stewart Creek,lycopus_rubellus,1,N
Trout Brook,lycopus_rubellus,1,N
Battenkill,lysimachia_ciliata,1,N
Beaver Kill,lysimachia_ciliata,1,N
Mill Brook,lysimachia_ciliata,1,N
Mohawk River,lysimachia_ciliata,1,N
Wharton Hollow Creek,lysimachia_ciliata,1,N
Ballston Creek,lysimachia_quadrifolia,1,N
Fawn Lake,lysimachia_terrestris,1,N
Bullhead Pond Brook,maianthemum_racemosum,1,N
Cadman Creek,maianthemum_racemosum,1,N
Hans Creek,maianthemum_racemosum,1,N
Indian Kill,maianthemum_racemosum,1,N
Kennyetto Creek,maianthemum_racemosum,1,N
Kinderhook Creek,maianthemum_racemosum,1,N
Lansing Kill,maianthemum_racemosum,1,N
Minots Corner Road,maianthemum_racemosum,1,N
Mohawk River,maianthemum_racemosum,1,N
North Branch West Stony Creek,maianthemum_racemosum,1,N
Robbs Creek,maianthemum_racemosum,1,N
Stewart Creek,maianthemum_racemosum,1,N
Trout Brook,maianthemum_racemosum,1,N
Valatie Kill,maianthemum_racemosum,1,N
Alplaus Kill,matteuccia_struthiopteris,1,N
Ballston Creek,matteuccia_struthiopteris,1,N
Hans Creek,matteuccia_struthiopteris,1,N
Indian Kill,matteuccia_struthiopteris,1,N
Mill Creek,matteuccia_struthiopteris,1,N
Minots Corner Road,matteuccia_struthiopteris,1,N
Jassup River,mimulus_ringens,1,N
Kayaderosseras Creek,mimulus_ringens,1,N
Snook Kill,mimulus_ringens,1,N
Trout Brook,mitchella_repens,1,N
Stony Creek,monotropa_uniflora,1,N
Quacken Kill,muhlenbergia_mexicana,1,N
Alplaus Kill,myosotis_laxa,1,N
Ballston Creek,myosotis_laxa,1,N
Evas Kill,myosotis_laxa,1,N
Kayaderosseras Creek,myosotis_laxa,1,N
Keyser Kill,myosotis_laxa,1,N
Boreas River,myrica_gale,1,N
Chester Creek,myrica_gale,1,N
Paragon Brook,myrica_gale,1,N
Bullhead Pond Brook,oclemena_acuminata,1,N
Stewart Creek,oclemena_acuminata,1,N
Keyser Kill,oenethera_biennis,1,N
Snook Kill,oenethera_biennis,1,N
Sterling Creek,oenethera_biennis,1,N
Timmerman Creek,oenethera_biennis,1,N
Alplaus Kill,onoclea_sensibilis,1,N
Ballston Creek,onoclea_sensibilis,1,N
Battenkill,onoclea_sensibilis,1,N
Beaver Kill,onoclea_sensibilis,1,N
Boreas River,onoclea_sensibilis,1,N
Cadman Creek,onoclea_sensibilis,1,N
Cedar River,onoclea_sensibilis,1,N
Chester Creek,onoclea_sensibilis,1,N
Daly Creek,onoclea_sensibilis,1,N
Fawn Lake,onoclea_sensibilis,1,N
Four Mile Brook,onoclea_sensibilis,1,N
Green River,onoclea_sensibilis,1,N
Hans Creek,onoclea_sensibilis,1,N
Indian Brook,onoclea_sensibilis,1,N
Indian Kill,onoclea_sensibilis,1,N
Jassup River,onoclea_sensibilis,1,N
Kennyetto Creek,onoclea_sensibilis,1,N
Kinderhook Creek,onoclea_sensibilis,1,N
Mill Brook,onoclea_sensibilis,1,N
Mill Creek,onoclea_sensibilis,1,N
Minots Corner Road,onoclea_sensibilis,1,N
Mohawk River,onoclea_sensibilis,1,N
Paragon Brook,onoclea_sensibilis,1,N
Potic Creek,onoclea_sensibilis,1,N
Quacken Kill,onoclea_sensibilis,1,N
Robbs Creek,onoclea_sensibilis,1,N
Roeliff Jansen Kill,onoclea_sensibilis,1,N
Sherriff Lake Outlet,onoclea_sensibilis,1,N
Snook Kill,onoclea_sensibilis,1,N
Sprout Creek,onoclea_sensibilis,1,N
Timmerman Creek,onoclea_sensibilis,1,N
Trout Brook,onoclea_sensibilis,1,N
Wharton Hollow Creek,onoclea_sensibilis,1,N
Robbs Creek,osmunda_cinnamomea,1,N
Boreas River,osmunda_regalis,1,N
Chester Creek,osmunda_regalis,1,N
Daly Creek,osmunda_regalis,1,N
Trout Brook,osmunda_regalis,1,N
Alplaus Kill,ostrya_virginiana,1,N
Ballston Creek,ostrya_virginiana,1,N
Lansing Kill,ostrya_virginiana,1,N
Minots Corner Road,ostrya_virginiana,1,N
Sterling Creek,ostrya_virginiana,1,N
Timmerman Creek,ostrya_virginiana,1,N
Valatie Kill,ostrya_virginiana,1,N
Alplaus Kill,oxalis_stricta,1,N
Battenkill,oxalis_stricta,1,N
Boreas River,oxalis_stricta,1,N
Cedar River,oxalis_stricta,1,N
Fishkill Creek,oxalis_stricta,1,N
Hans Creek,oxalis_stricta,1,N
Indian Brook,oxalis_stricta,1,N
Kayaderosseras Creek,oxalis_stricta,1,N
Keyser Kill,oxalis_stricta,1,N
Kinderhook Creek,oxalis_stricta,1,N
Landsman Kill,oxalis_stricta,1,N
Mill Brook,oxalis_stricta,1,N
Minots Corner Road,oxalis_stricta,1,N
Potic Creek,oxalis_stricta,1,N
Quacken Kill,oxalis_stricta,1,N
Roeliff Jansen Kill,oxalis_stricta,1,N
Sherriff Lake Outlet,oxalis_stricta,1,N
Snook Kill,oxalis_stricta,1,N
Sterling Creek,oxalis_stricta,1,N
Stony Creek,oxalis_stricta,1,N
Beaver Kill,panicum_dichotomiflorum,1,N
Potic Creek,panicum_dichotomiflorum,1,N
Sprout Creek,panicum_dichotomiflorum,1,N
Wappinger Creek,panicum_dichotomiflorum,1,N
Alplaus Kill,parthenocissus_quinquefolia,1,N
Ballston Creek,parthenocissus_quinquefolia,1,N
Battenkill,parthenocissus_quinquefolia,1,N
Big Brook,parthenocissus_quinquefolia,1,N
Daly Creek,parthenocissus_quinquefolia,1,N
Evas Kill,parthenocissus_quinquefolia,1,N
Fishkill Creek,parthenocissus_quinquefolia,1,N
Four Mile Brook,parthenocissus_quinquefolia,1,N
Indian Kill,parthenocissus_quinquefolia,1,N
Kayaderosseras Creek,parthenocissus_quinquefolia,1,N
Kinderhook Creek,parthenocissus_quinquefolia,1,N
Lansing Kill,parthenocissus_quinquefolia,1,N
Minots Corner Road,parthenocissus_quinquefolia,1,N
Mohawk River,parthenocissus_quinquefolia,1,N
Paragon Brook,parthenocissus_quinquefolia,1,N
Potic Creek,parthenocissus_quinquefolia,1,N
Quacken Kill,parthenocissus_quinquefolia,1,N
Roeliff Jansen Kill,parthenocissus_quinquefolia,1,N
Snook Kill,parthenocissus_quinquefolia,1,N
Sprout Creek,parthenocissus_quinquefolia,1,N
Steele Creek,parthenocissus_quinquefolia,1,N
Sterling Creek,parthenocissus_quinquefolia,1,N
Wappinger Creek,parthenocissus_quinquefolia,1,N
Boreas River,peltandra_virginica,1,N
Boreas River,phalaris_arundinacea,1,N
Cobleskill Creek,phalaris_arundinacea,1,N
Fawn Lake,phalaris_arundinacea,1,N
Keyser Kill,phalaris_arundinacea,1,N
North Branch West Stony Creek,phalaris_arundinacea,1,N
Sprout Creek,phalaris_arundinacea,1,N
Bullhead Pond Brook,phegopteris_connectilis,1,N
Hudson River,phegopteris_connectilis,1,N
Four Mile Brook,phegopteris_hexagonoptera,1,N
New Pond Brook,phegopteris_hexagonoptera,1,N
Sherriff Lake Outlet,phegopteris_hexagonoptera,1,N
Stewart Creek,phegopteris_hexagonoptera,1,N
Timmerman Creek,phegopteris_hexagonoptera,1,N
Alplaus Kill,pilea_pumila,1,N
Ballston Creek,pilea_pumila,1,N
Evas Kill,pilea_pumila,1,N
Fishkill Creek,pilea_pumila,1,N
Indian Brook,pilea_pumila,1,N
Indian Kill,pilea_pumila,1,N
Kinderhook Creek,pilea_pumila,1,N
Landsman Kill,pilea_pumila,1,N
Lansing Kill,pilea_pumila,1,N
Minots Corner Road,pilea_pumila,1,N
Potic Creek,pilea_pumila,1,N
Quacken Kill,pilea_pumila,1,N
Roeliff Jansen Kill,pilea_pumila,1,N
Saw Kill,pilea_pumila,1,N
Snook Kill,pilea_pumila,1,N
Sprout Creek,pilea_pumila,1,N
Sterling Creek,pilea_pumila,1,N
Stony Creek,pilea_pumila,1,N
Wappinger Creek,pilea_pumila,1,N
Cadman Creek,pinus_strobus,1,N
Mill Creek,pinus_strobus,1,N
Paragon Brook,pinus_strobus,1,N
Kinderhook Creek,platanus_occidentalis,1,N
Landsman Kill,platanus_occidentalis,1,N
Sprout Creek,platanus_occidentalis,1,N
Beaver Kill,polygonum_amphibium,1,N
Cobleskill Creek,polygonum_amphibium,1,N
Potic Creek,polygonum_amphibium,1,N
Roeliff Jansen Kill,polygonum_amphibium,1,N
Ballston Creek,polygonum_arifolium,1,N
Beaver Kill,polygonum_cilinode,1,N
Wappinger Creek,polygonum_hydropiperoides,1,N
Evas Kill,polygonum_punctatum,1,N
Kennyetto Creek,polygonum_punctatum,1,N
Quacken Kill,polygonum_punctatum,1,N
Beaver Kill,polygonum_sagittatum,1,N
Cadman Creek,polygonum_sagittatum,1,N
Daly Creek,polygonum_sagittatum,1,N
Fawn Lake,polygonum_sagittatum,1,N
Indian Brook,polygonum_sagittatum,1,N
New Pond Brook,polygonum_sagittatum,1,N
North Branch West Stony Creek,polygonum_sagittatum,1,N
Potic Creek,polygonum_sagittatum,1,N
Saw Kill,polygonum_sagittatum,1,N
Sherriff Lake Outlet,polygonum_sagittatum,1,N
Alplaus Kill,polygonum_virginianum,1,N
Indian Kill,polygonum_virginianum,1,N
Kennyetto Creek,polygonum_virginianum,1,N
Kinderhook Creek,polygonum_virginianum,1,N
Lansing Kill,polygonum_virginianum,1,N
Snook Kill,polygonum_virginianum,1,N
Bullhead Pond Brook,polystichum_acrostichoides,1,N
Indian Kill,polystichum_acrostichoides,1,N
Ballston Creek,populus_deltoides,1,N
Cadman Creek,populus_deltoides,1,N
Cobleskill Creek,populus_deltoides,1,N
Evas Kill,populus_deltoides,1,N
Fishkill Creek,populus_deltoides,1,N
Kayaderosseras Creek,populus_deltoides,1,N
Keyser Kill,populus_deltoides,1,N
Plotter Kill,populus_deltoides,1,N
Quacken Kill,populus_deltoides,1,N
Big Brook,potentilla_simplex,1,N
Cedar River,potentilla_simplex,1,N
Four Mile Brook,potentilla_simplex,1,N
Hans Creek,potentilla_simplex,1,N
Keyser Kill,potentilla_simplex,1,N
New Pond Brook,potentilla_simplex,1,N
North Branch West Stony Creek,potentilla_simplex,1,N
Paragon Brook,potentilla_simplex,1,N
Roeliff Jansen Kill,potentilla_simplex,1,N
Stewart Creek,potentilla_simplex,1,N
Stony Creek,potentilla_simplex,1,N
Bullhead Pond Brook,prenanthes_alba,1,N
Cadman Creek,prenanthes_altissima,1,N
Daly Creek,prenanthes_altissima,1,N
Sherriff Lake Outlet,prenanthes_trifoliolata,1,N
Stewart Creek,prenanthes_trifoliolata,1,N
Trout Brook,prenanthes_trifoliolata,1,N
Big Brook,prunella_vulgaris,1,N
Boreas River,prunella_vulgaris,1,N
Cedar River,prunella_vulgaris,1,N
Daly Creek,prunella_vulgaris,1,N
Evas Kill,prunella_vulgaris,1,N
Four Mile Brook,prunella_vulgaris,1,N
Hans Creek,prunella_vulgaris,1,N
Hudson River,prunella_vulgaris,1,N
Indian Kill,prunella_vulgaris,1,N
Kayaderosseras Creek,prunella_vulgaris,1,N
Keyser Kill,prunella_vulgaris,1,N
Kinderhook Creek,prunella_vulgaris,1,N
Mill Creek,prunella_vulgaris,1,N
Paragon Brook,prunella_vulgaris,1,N
Potic Creek,prunella_vulgaris,1,N
Sprout Creek,prunella_vulgaris,1,N
Sterling Creek,prunella_vulgaris,1,N
Stony Creek,prunella_vulgaris,1,N
Timmerman Creek,prunella_vulgaris,1,N
Wappinger Creek,prunella_vulgaris,1,N
Wharton Hollow Creek,prunella_vulgaris,1,N
Chester Creek,prunus_americana,1,N
Cadman Creek,prunus_serotina,1,N
Lansing Kill,prunus_serotina,1,N
Snook Kill,prunus_serotina,1,N
Battenkill,prunus_virginiana,1,N
Big Brook,prunus_virginiana,1,N
Hans Creek,prunus_virginiana,1,N
Kennyetto Creek,prunus_virginiana,1,N
Mill Creek,prunus_virginiana,1,N
Minots Corner Road,prunus_virginiana,1,N
Mohawk River,prunus_virginiana,1,N
New Pond Brook,prunus_virginiana,1,N
North Branch West Stony Creek,prunus_virginiana,1,N
Stewart Creek,prunus_virginiana,1,N
Trout Brook,prunus_virginiana,1,N
Valatie Kill,prunus_virginiana,1,N
North Branch West Stony Creek,pteridium_aquilinum,1,N
Stony Creek,quercus_alba,1,N
Fishkill Creek,quercus_prinoides,1,N
Hans Creek,quercus_velutina,1,N
Fawn Lake,ranunculus_pensylvanicus,1,N
Indian Brook,ranunculus_pensylvanicus,1,N
Wharton Hollow Creek,ranunculus_pensylvanicus,1,N
Roeliff Jansen Kill,ranunculus_recurvatus,1,N
Indian Brook,rhamnus_alnifolia,1,N
Big Brook,rhus_typhina,1,N
Minots Corner Road,rhus_typhina,1,N
Plotter Kill,rhus_typhina,1,N
Steele Creek,rhus_typhina,1,N
Sterling Creek,rhus_typhina,1,N
Indian Brook,robinia_pseudoacacia,1,N
Roeliff Jansen Kill,robinia_pseudoacacia,1,N
Chester Creek,rosa_palustris,1,N
Cadman Creek,rubus_allegheniensis,1,N
Daly Creek,rubus_allegheniensis,1,N
Indian Kill,rubus_allegheniensis,1,N
Keyser Kill,rubus_allegheniensis,1,N
Four Mile Brook,rubus_hispidus,1,N
Kinderhook Creek,rubus_hispidus,1,N
Mill Creek,rubus_hispidus,1,N
North Branch West Stony Creek,rubus_hispidus,1,N
Potic Creek,rubus_hispidus,1,N
Ballston Creek,rubus_idaeus,1,N
Jassup River,rubus_idaeus,1,N
Keyser Kill,rubus_idaeus,1,N
Fawn Lake,rubus_occidentalis,1,N
Hudson River,rubus_occidentalis,1,N
Landsman Kill,rubus_occidentalis,1,N
Lansing Kill,rubus_occidentalis,1,N
Minots Corner Road,rubus_occidentalis,1,N
Quacken Kill,rubus_occidentalis,1,N
Roeliff Jansen Kill,rubus_occidentalis,1,N
Sterling Creek,rubus_occidentalis,1,N
Evas Kill,rubus_odoratus,1,N
Lansing Kill,rubus_odoratus,1,N
Mohawk River,rubus_odoratus,1,N
Steele Creek,rubus_odoratus,1,N
North Branch West Stony Creek,rubus_pubescens,1,N
Stewart Creek,rubus_pubescens,1,N
Indian Kill,rudbeckia_hirta,1,N
Sterling Creek,rudbeckia_hirta,1,N
Robbs Creek,rudbeckia_laciniata,1,N
Ballston Creek,sagittaria_latifolia,1,N
Chester Creek,sagittaria_latifolia,1,N
Indian Kill,sagittaria_latifolia,1,N
Kayaderosseras Creek,sagittaria_latifolia,1,N
Sherriff Lake Outlet,sagittaria_latifolia,1,N
Battenkill,salix_nigra,1,N
Boreas River,salix_nigra,1,N
Four Mile Brook,salix_nigra,1,N
Green River,salix_nigra,1,N
Kayaderosseras Creek,salix_nigra,1,N
Kennyetto Creek,salix_nigra,1,N
Kinderhook Creek,salix_nigra,1,N
Plotter Kill,salix_nigra,1,N
Robbs Creek,salix_nigra,1,N
Sherriff Lake Outlet,salix_nigra,1,N
Snook Kill,salix_nigra,1,N
Chester Creek,schoenoplectus_pungens,1,N
Beaver Kill,scirpus_atrocinctus,1,N
Beaver Kill,scirpus_microcarpus,1,N
Landsman Kill,scutellaria_lateriflora,1,N
Saw Kill,scutellaria_lateriflora,1,N
Battenkill,smilax_tamnoides,1,N
Big Brook,solidago_altissima,1,N
Daly Creek,solidago_altissima,1,N
Jassup River,solidago_altissima,1,N
Keyser Kill,solidago_altissima,1,N
Kinderhook Creek,solidago_altissima,1,N
